adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
attractive,465,95.21,860.46,0,0,2,10,16372,44273,9.037429434353047,16372,10,25.0,-15.0,4.8493385776356215,2.251811479397428
late,465,93.57,1624.83,0,0,1,3,34920,43510,17.364907623135576,34920,3,7.5,-4.5,2.73596378099609,1.6115910174236303
helpful,465,92.47,715.12,0,0,1,9,13912,43000,7.7332553994433235,13912,9,22.5,-13.5,4.367332727354959,1.9969573748432699
safe,465,92.0,391.52,0,0,3,24,4941,42782,4.255434906945077,4941,24,60.0,-36.0,7.1915935692214354,2.47406922654113
obvious,465,90.81,569.09,0,0,1,8,9308,42227,6.266814862866727,9308,8,20.0,-12.0,4.145018339999229,1.884294611773917
wrong,465,90.67,331.49,0,1,4,25,2912,42163,3.655865673444121,2912,24,61.0,-35.0,7.99325042400871,2.776643588554273
complicated,465,90.36,918.55,0,0,1,7,18828,42016,10.165751565109625,18828,7,17.5,-10.5,3.956911163379292,1.88521526398502
necessary,465,89.55,648.64,0,0,1,12,12643,41639,7.2436104104912555,12643,12,30.0,-18.0,5.009984372103506,2.0128161517840657
pleased,465,89.18,818.33,0,0,1,8,16593,41467,9.176502014253344,16593,8,20.0,-12.0,3.7309474744649735,1.709509067789531
vulnerable,465,88.2,783.09,0,0,2,9,14214,41014,8.87831824324002,14214,9,22.5,-13.5,4.530207689188022,2.134942663225857
accurate,465,85.81,726.8,0,0,2,10,14286,39903,8.469576958351167,14286,10,25.0,-15.0,4.997756440637629,2.1153447711074365
unique,465,85.77,463.94,0,0,3,12,5768,39881,5.409359413605275,5768,12,30.0,-18.0,5.757230063363028,2.3996654552078547
hot,465,85.2,535.95,0,0,3,13,7243,39619,6.290344855042711,7243,13,32.5,-19.5,5.929204972556596,2.421938171957909
sensitive,465,84.63,508.54,0,0,2,8,6535,39351,6.009325025607806,6535,8,20.0,-12.0,4.39619674027643,2.042155526634552
cloudy,465,82.24,1638.42,0,0,0,1,35292,38243,19.92164646658168,35292,1,2.5,-1.5,1.5915927796268028,1.2420137908584814
confident,465,82.24,610.42,0,0,1,7,11093,38241,7.422579057675395,11093,7,17.5,-10.5,3.9653252630620646,1.846092366260342
tough,465,81.68,552.28,0,0,1,9,9599,37983,6.761188341071693,9599,9,22.5,-13.5,4.364051898632136,1.9661458308323483
amazing,465,80.83,527.48,0,0,1,5,8372,37585,6.525943205082777,8372,5,12.5,-7.5,3.4541371805611445,1.7551591699157816
critical,465,79.12,470.13,0,0,2,11,7321,36793,5.941628493310822,7321,11,27.5,-16.5,5.258227596027622,2.2433771349293723
early,465,78.13,1096.45,0,0,0,2,22195,36331,14.033390243176544,22195,2,5.0,-3.0,2.4032374600276376,1.5075313824929024
accessible,465,78.04,634.0,0,0,1,9,10287,36287,8.124439603264618,10287,9,22.5,-13.5,4.1974841951078865,1.921074695298691
aggressive,465,77.72,788.99,0,0,1,7,16007,36140,10.151604188421432,16007,7,17.5,-10.5,3.946536528186502,2.0058758773194176
fine,465,77.64,770.28,0,0,1,5,15335,36103,9.921104404837727,15335,5,12.5,-7.5,3.5798753019884098,1.7953633306660943
perfect,465,75.77,504.66,0,0,2,9,9207,35232,6.660575770814403,9207,9,22.5,-13.5,4.6196352830775975,2.136913737334113
willing,465,74.44,537.76,0,0,1,7,9026,34614,7.224145408217254,9026,7,17.5,-10.5,3.6648172685590774,1.7243004691264205
real,465,72.75,757.14,0,0,1,8,15284,33829,10.407295070845729,15284,8,20.0,-12.0,3.9027683095211656,1.9838028998352948
challenging,465,72.43,583.81,0,0,2,11,9187,33678,8.060848777842004,9187,11,27.5,-16.5,4.780471224040221,2.158365932981217
first,465,72.4,1472.6,0,0,0,1,31756,33664,20.340950719353167,31756,1,2.5,-1.5,1.8393886253571108,1.3508280369559234
advanced,465,72.08,783.47,0,0,1,3,12740,33519,10.868824780377006,12740,3,7.5,-4.5,2.586772001975148,1.5714719166450304
surprising,465,71.75,664.34,0,0,0,4,13381,33365,9.258710650703218,13381,4,10.0,-6.0,3.049263774623871,1.5777153452250172
fast,465,71.61,431.04,0,0,2,15,6623,33299,6.019185967835156,6623,15,37.5,-22.5,5.250118340755905,2.1700390014926447
visible,465,70.9,411.93,0,0,1,9,5464,32968,5.810172600442678,5464,9,22.5,-13.5,4.362198697245821,2.0375215464342347
funny,465,67.89,359.21,0,0,3,15,5301,31567,5.291340806808303,5301,15,37.5,-22.5,5.9494747400783865,2.3556108132482882
rare,465,67.03,502.17,0,0,1,6,8948,31170,7.491490793071758,8948,6,15.0,-9.0,3.4719378864190666,1.749119123053426
ill,465,66.75,578.64,0,0,1,4,10283,31038,8.668904038219772,10283,4,10.0,-6.0,2.894602914007091,1.6271143351382715
relevant,465,66.75,394.79,0,0,3,12,5740,31037,5.914828000781594,5740,12,30.0,-18.0,5.385478358254776,2.319379891411069
afraid,465,64.43,725.41,0,0,0,4,15186,29959,11.259251066555361,15186,4,10.0,-6.0,3.1162180723983397,1.6401172297791993
worried,465,64.37,354.9,0,0,1,7,5148,29934,5.513046806086278,5148,7,17.5,-10.5,3.7437756980438492,1.7313712677955895
healthy,465,64.23,261.27,0,0,2,16,3214,29865,4.0679266967317025,3214,16,40.0,-24.0,6.09015265633406,2.3406627067413273
friendly,465,63.97,574.7,0,0,1,7,9745,29747,8.983556480417684,9745,7,17.5,-10.5,3.986447292566576,2.006722596510656
better,465,63.43,616.37,0,0,0,4,11953,29496,9.716905324372577,11953,4,10.0,-6.0,3.022885804550688,1.618649538457842
diverse,465,62.94,441.27,0,0,1,8,6535,29266,7.011189104906117,6535,8,20.0,-12.0,3.8008809373368173,1.829130201663204
appropriate,465,61.69,474.65,0,0,1,8,6768,28684,7.694668410452682,6768,8,20.0,-12.0,4.092066865056383,1.9234138840394208
cheap,465,61.49,307.72,0,0,2,10,3719,28593,5.004347764940196,3719,10,25.0,-15.0,4.985168366849554,2.1438141407039772
personal,465,61.47,488.17,0,0,1,8,8035,28583,7.94177510192315,8035,8,20.0,-12.0,3.7965794521648073,1.9053864035306536
specific,465,61.2,693.26,0,0,1,3,10880,28457,11.328182178593188,10880,3,7.5,-4.5,2.700662604890566,1.6478281363660694
deep,465,61.15,360.14,0,0,2,9,4483,28433,5.889781560825542,4483,9,22.5,-13.5,4.700293605778995,2.237806544641487
talented,465,61.12,431.83,0,0,1,6,6562,28420,7.065464102995854,6562,6,15.0,-9.0,3.573427471823012,1.7476729629110301
prominent,465,60.84,870.17,0,0,0,2,18132,28291,14.30240463876429,18132,2,5.0,-3.0,2.131306271056898,1.4067396073598815
conservative,465,60.53,469.75,0,0,2,10,8959,28148,7.76016421180237,8959,10,25.0,-15.0,4.5659556524558225,2.086025616471282
severe,465,59.98,495.13,0,0,0,2,8425,27892,8.254615747152249,8425,2,5.0,-3.0,2.374147217348364,1.4504948864071299
detailed,465,59.84,634.37,0,0,1,6,13090,27824,10.601765063753,13090,6,15.0,-9.0,3.4212673092560615,1.7647170768127383
affordable,465,59.77,637.8,0,0,0,4,12546,27793,10.671004403771862,12546,4,10.0,-6.0,2.8177146322267252,1.573669050531157
slow,465,59.7,369.6,0,0,2,14,5804,27759,6.191266259646572,5804,14,35.0,-21.0,5.357989770594061,2.2129153290363064
certain,465,59.34,414.41,0,0,0,3,6940,27595,6.9831674281298595,6940,3,7.5,-4.5,2.8912489717195453,1.5681954970837826
intense,465,59.18,465.54,0,0,1,5,7948,27520,7.8660573862132885,7948,5,12.5,-7.5,3.4070620558419926,1.8709069571451904
higher,465,58.97,418.12,0,0,0,2,6421,27420,7.0905802914554075,6421,2,5.0,-3.0,2.5454956242757785,1.4532960265707469
present,465,58.75,371.54,0,0,2,11,5138,27321,6.3235151860007495,5138,11,27.5,-16.5,4.7586417245568065,2.1608086805421656
weak,465,57.33,331.25,0,0,3,16,5257,26659,5.777901318923847,5257,16,40.0,-24.0,5.782014215935535,2.419906312722885
related,465,57.25,406.08,0,0,2,12,5719,26622,7.0928270572176615,5719,12,30.0,-18.0,4.928250437452838,2.121660908160911
unusual,465,57.06,412.77,0,0,0,3,6273,26531,7.234530837352166,6273,3,7.5,-4.5,2.7541306836677544,1.535222469916748
least,465,56.98,944.65,0,0,0,0,19120,26497,16.577794060393572,19120,0,0.0,0.0,1.254454632919341,1.1123790144278596
natural,465,56.95,409.95,0,0,0,4,6718,26482,7.1982807555306305,6718,4,10.0,-6.0,2.906061278587953,1.593378414415036
sad,465,56.84,447.07,0,0,1,7,8145,26432,7.864969815524042,8145,7,17.5,-10.5,3.87370699615136,1.8780763834806828
grateful,465,56.6,419.31,0,0,0,4,6147,26318,7.408672617021597,6147,4,10.0,-6.0,2.90228565658006,1.5535705392065164
productive,465,56.46,595.64,0,0,1,5,11430,26256,10.54891061933979,11430,5,12.5,-7.5,3.148135606270574,1.7539853536201007
alive,465,56.35,756.13,0,0,1,5,16114,26205,13.417228608937904,16114,5,12.5,-7.5,3.2135315360594,1.7857954443906554
capable,465,55.46,258.48,0,0,2,11,3041,25791,4.660364724596808,3041,11,27.5,-16.5,4.702085580234493,2.0486153957087074
poor,465,54.91,392.6,0,0,2,12,7655,25531,7.150563569760755,7655,12,30.0,-18.0,5.088282240456073,2.288588503150142
optimistic,465,54.22,338.12,0,0,2,8,5108,25210,6.236657952142166,5108,8,20.0,-12.0,4.01014431909477,1.9559069942909297
influential,465,53.97,753.74,0,0,0,3,16090,25096,13.96597346771054,16090,3,7.5,-4.5,2.4984071228387754,1.5188326430325567
sweet,465,53.94,289.61,0,0,2,10,3580,25082,5.369080226554052,3580,10,25.0,-15.0,4.906289550643778,2.2197615730558953
sophisticated,465,53.8,565.09,0,0,1,4,11322,25017,10.503517911209554,11322,4,10.0,-6.0,2.9724082156837723,1.7170720089836
complete,465,53.53,376.51,0,0,1,4,5516,24892,7.033519343759815,5516,4,10.0,-6.0,3.0786800481981023,1.6550282126137474
cold,465,53.41,315.48,0,0,2,13,4265,24836,5.906651749947305,4265,13,32.5,-19.5,5.167300666792932,2.286835693735977
surprised,465,53.02,320.93,0,0,0,5,3814,24652,6.053560108102345,3814,5,12.5,-7.5,3.1088911193809907,1.5556478235278437
impressed,465,53.0,344.29,0,0,1,5,5570,24644,6.496259323498944,5570,5,12.5,-7.5,3.4929735362190777,1.7043792362306396
glad,465,52.44,569.34,0,0,0,2,11124,24383,10.857727346772927,11124,2,5.0,-3.0,2.293424965277131,1.4145997521789615
full,465,52.31,252.35,0,0,2,10,4107,24326,4.823755405235789,4107,10,25.0,-15.0,5.025870704803783,2.2063766988194256
heavy,465,51.83,317.2,0,0,2,10,4613,24103,6.119409240776495,4613,10,25.0,-15.0,4.351545479085455,2.040825827564896
