adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
disappointing,284,4,250,18,3,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
thrilling,283,31,216,19,3,5,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0
major,283,2,267,10,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
reliable,282,72,49,54,29,28,24,9,12,3,0,2,0,0,0,0,0,0,0,0,0
disappointed,281,156,4,8,10,7,10,74,1,10,0,1,0,0,0,0,0,0,0,0,0
evil,277,33,128,28,44,20,6,13,3,1,0,1,0,0,0,0,0,0,0,0,0
clean,275,159,34,39,11,2,4,3,4,16,1,2,0,0,0,0,0,0,0,0,0
productive,275,111,57,31,17,14,12,10,7,12,1,2,1,0,0,0,0,0,0,0,0
exclusive,270,51,30,91,40,8,20,0,19,8,0,3,0,0,0,0,0,0,0,0,0
inspiring,269,14,192,35,6,4,8,0,8,2,0,0,0,0,0,0,0,0,0,0,0
grateful,266,220,5,13,5,2,1,9,3,3,1,1,3,0,0,0,0,0,0,0,0
offensive,266,12,200,20,13,13,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0
nice,265,93,89,42,19,4,5,6,3,4,0,0,0,0,0,0,0,0,0,0,0
related,265,10,56,104,41,15,25,0,4,6,3,1,0,0,0,0,0,0,0,0,0
afraid,262,190,6,11,11,25,3,11,1,3,0,0,1,0,0,0,0,0,0,0,0
refreshing,261,5,245,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
delicious,259,67,154,17,5,7,2,0,1,5,0,1,0,0,0,0,0,0,0,0,0
profound,255,41,114,48,14,20,1,0,11,4,0,1,1,0,0,0,0,0,0,0,0
strange,255,10,176,50,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dark,255,134,35,19,48,2,3,0,5,6,1,2,0,0,0,0,0,0,0,0,0
fast,254,157,22,20,16,5,21,1,2,10,0,0,0,0,0,0,0,0,0,0,0
