bigram_lower,SUM,neg-mirror-R,neg-mirror-L
truly_conclusive,3,2,1
socially_unacceptable,3,1,2
that_prolific,3,3,0
so_intolerable,3,2,1
actually_worth,3,3,0
so_stimulating,3,2,1
very_materialistic,3,3,0
remotely_threatening,3,1,2
more_minimal,3,2,1
so_fragmented,3,3,0
very_ideological,3,2,1
so_foul,3,2,1
less_precise,3,3,0
completely_selfish,3,3,0
very_sinister,3,3,0
less_practical,3,1,2
completely_rigid,3,3,0
overly_powerful,3,3,0
truly_likable,3,3,0
completely_sane,3,2,1
less_affordable,3,3,0
very_mobile,3,3,0
much_tougher,3,2,1
much_stronger,3,2,1
extremely_dangerous,3,2,1
overly_ornate,3,2,1
manifestly_different,3,1,2
completely_solid,3,3,0
even_bisexual,3,3,0
absolutely_terrible,3,1,2
so_spontaneous,3,1,2
completely_terrible,3,3,0
really_beautiful,3,2,1
overly_new,3,0,3
truly_interesting,3,2,1
even_black,3,2,1
extremely_complicated,3,2,1
so_frail,3,3,0
completely_steady,3,3,0
overly_objectionable,3,0,3
so_spoilt,3,3,0
remotely_typical,3,0,3
truly_irreversible,3,3,0
extremely_expensive,3,3,0
truly_lonely,3,3,0
consistently_able,3,3,0
more_malignant,3,1,2
completely_overwhelming,3,2,1
absolutely_stunning,3,2,1
less_amazed,3,2,1
extremely_large,3,2,1
really_adventurous,3,2,1
so_foolproof,3,3,0
overly_shy,3,3,0
that_costly,3,3,0
less_aggravating,3,2,1
more_malevolent,3,0,3
more_major,3,1,2
much_surprising,3,0,3
completely_official,3,3,0
extremely_memorable,3,2,1
massively_different,3,1,2
extremely_new,3,0,3
really_alarming,3,0,3
overly_satisfied,3,3,0
less_political,3,3,0
completely_pleased,3,3,0
markedly_different,3,3,0
extremely_fancy,3,0,3
completely_responsible,3,3,0
really_applicable,3,3,0
really_anxious,3,3,0
remotely_traditional,3,2,1
completely_realistic,3,3,0
really_annoying,3,2,1
less_agreeable,3,2,1
completely_preventable,3,3,0
overly_rewarding,3,3,0
overly_rich,3,3,0
completely_positive,3,3,0
really_ambitious,3,3,0
extremely_hot,3,2,1
more_monolithic,3,3,0
that_emotional,3,3,0
as_bulky,3,3,0
more_newsworthy,3,1,2
remotely_supernatural,3,0,3
much_related,3,2,1
too_glaring,3,2,1
overly_flamboyant,3,3,0
so_steamy,3,3,0
so_irksome,3,1,2
more_nice,3,0,3
overly_frustrating,3,2,1
completely_truthful,3,3,0
even_appropriate,3,3,0
inherently_misleading,3,1,2
remotely_sure,3,3,0
any_busier,3,3,0
much_safer,3,3,0
overly_good,3,2,1
too_glossy,3,1,2
overly_fantastic,3,0,3
remotely_suggestive,3,0,3
so_omnipresent,3,3,0
truly_grateful,3,3,0
more_nurturing,3,2,1
actually_worthy,3,3,0
that_ignorant,3,3,0
even_accurate,3,3,0
so_frivolous,3,2,1
even_american,3,3,0
legally_sustainable,3,3,0
overly_explicit,3,2,1
explicitly_racist,3,2,1
locally_available,3,1,2
even_correct,3,3,0
considerably_better,3,2,1
truly_global,3,3,0
that_horrible,3,3,0
really_classic,3,1,2
that_fussy,3,3,0
remotely_unique,3,3,0
solely_good,3,3,0
completely_unknown,3,3,0
less_acceptable,3,2,1
that_fantastic,3,3,0
more_muscular,3,3,0
completely_uniform,3,3,0
really_brilliant,3,3,0
completely_unhappy,3,3,0
overly_inventive,3,0,3
completely_unfettered,3,3,0
less_accessible,3,2,1
remotely_unethical,3,0,3
overly_luxurious,3,3,0
so_spot,3,3,0
completely_unaware,3,2,1
completely_unarmed,3,3,0
really_bizarre,3,0,3
inherently_malicious,3,1,2
too_green,3,2,1
overly_greasy,3,3,0
solely_concerned,3,3,0
too_grotesque,3,2,1
completely_wicked,3,3,0
so_absolute,3,2,1
completely_welcome,3,3,0
completely_waterproof,3,3,0
overly_great,3,1,2
completely_visible,3,3,0
overly_happy,3,3,0
so_jaded,3,1,2
that_fortunate,3,3,0
inherently_meaningful,3,2,1
very_responsive,3,3,0
less_abstract,3,3,0
truly_identical,3,3,0
really_calm,3,3,0
less_reassuring,3,2,1
much_lower,3,1,2
inherently_real,3,2,1
longer_sticky,3,3,0
n't_serious,3,3,0
n't_safe,3,3,0
too_incriminating,3,0,3
too_incredible,3,1,2
totally_original,3,2,1
so_handy,3,1,2
so_tiresome,3,1,2
really_mean-spirited,3,3,0
socially_irresponsible,3,1,2
totally_possible,3,3,0
then_spectacular,3,0,3
less_scared,3,3,0
too_filthy,3,2,1
so_timid,3,2,1
totally_pure,3,3,0
just_solid,3,0,3
less_sensitive,3,3,0
totally_relaxed,3,3,0
more_scottish,3,2,1
so_toxic,3,2,1
more_selfless,3,0,3
intrinsically_interesting,3,2,1
too_informative,3,1,2
more_selective,3,3,0
remotely_presidential,3,0,3
more_secular,3,3,0
officially_open,3,3,0
long_free,3,3,0
really_naughty,3,1,2
totally_normal,3,3,0
more_scrupulous,3,3,0
really_narrow,3,0,3
really_naked,3,3,0
really_mystical,3,1,2
really_lucky,3,2,1
once_able,3,3,0
very_secret,3,2,1
too_fit,3,3,0
so_therapeutic,3,3,0
remotely_reasonable,3,1,2
only_chinese,3,3,0
really_intimate,3,2,1
really_intelligent,3,1,2
n't_present,3,3,0
more_reputable,3,3,0
too_inane,3,3,0
only_good,3,3,0
inherently_sexy,3,1,2
just_unfortunate,3,0,3
intrinsically_hard,3,0,3
really_indispensable,3,3,0
longer_tolerable,3,3,0
really_immune,3,3,0
too_inappropriate,3,0,3
definitively_wrong,3,1,2
more_rubbish,3,3,0
more_restless,3,3,0
more_routine,3,3,0
really_low,3,3,0
even_important,3,3,0
once_disappointed,3,3,0
really_likeable,3,2,1
much_enamored,3,3,0
really_legal,3,3,0
so_needy,3,3,0
much_evident,3,3,0
more_revered,3,1,2
more_revelatory,3,1,2
exactly_poor,3,3,0
only_able,3,3,0
totally_straightforward,3,3,0
just_tired,3,1,2
offensively_terrible,3,3,0
directly_connected,3,1,2
altogether_modern,3,3,0
really_powerful,3,2,1
any_nicer,3,1,2
inherently_undemocratic,3,0,3
exactly_close,3,3,0
this_easy,3,3,0
just_pure,3,1,2
really_pleased,3,3,0
totally_exempt,3,2,1
totally_fair,3,3,0
more_sordid,3,1,2
as_able,3,3,0
more_solitary,3,1,2
remotely_organic,3,1,2
really_patriotic,3,3,0
exactly_correct,3,3,0
obviously_related,3,2,1
so_unaffordable,3,3,0
so_unanimous,3,3,0
exactly_great,3,3,0
intentionally_malicious,3,3,0
really_pure,3,3,0
just_physical,3,3,0
really_proper,3,2,1
really_profitable,3,3,0
more_stereotypical,3,0,3
most_visible,3,3,0
inherently_unnatural,3,0,3
most_vocal,3,3,0
more_standard,3,1,2
more_staggering,3,2,1
exactly_boring,3,3,0
really_professional,3,2,1
totally_devoid,3,3,0
more_spontaneous,3,2,1
long_satisfied,3,3,0
naturally_good,3,3,0
intrinsically_male,3,0,3
inherently_troubling,3,0,3
inherently_troublesome,3,0,3
too_fashionable,3,2,1
more_shrill,3,3,0
really_optional,3,3,0
exactly_famous,3,2,1
so_harmful,3,2,1
longer_sleepy,3,3,0
there_enough,3,3,0
more_shallow,3,2,1
ruthlessly_efficient,3,3,0
intrinsically_irrational,3,0,3
totally_innocent,3,3,0
directly_harmful,3,3,0
spectacularly_good,3,1,2
off_sick,3,3,0
really_odd,3,0,3
totally_ignorant,3,3,0
just_satisfied,3,3,0
much_ashamed,3,2,1
really_overpowering,3,3,0
more_slippery,3,3,0
very_holy,3,3,0
more_skilful,3,3,0
altogether_surprising,3,3,0
nationally_representative,3,3,0
remotely_pleasant,3,2,1
more_singular,3,3,0
directly_transferable,3,3,0
really_overcome,3,3,0
much_appealing,3,0,3
remotely_popular,3,2,1
always_obvious,3,3,0
scantily_clad,3,3,0
exactly_equal,3,3,0
totally_unique,3,2,1
necessarily_incorrect,3,2,1
just_unnecessary,3,2,1
really_forbidden,3,2,1
outrageously_high,3,3,0
n't_likely,3,3,0
more_rad,3,2,1
really_fat,3,3,0
too_foolish,3,2,1
outright_funny,3,3,0
willfully_blind,3,3,0
outrageously_different,3,0,3
outright_horrible,3,3,0
currently_interested,3,3,0
damn_sure,3,3,0
exceptionally_fancy,3,0,3
exactly_unknown,3,3,0
so_novel,3,0,3
remotely_reminiscent,3,2,1
really_fit,3,3,0
n't_hard,3,3,0
exactly_unexpected,3,3,0
otherwise_wrong,3,0,3
truly_altruistic,3,3,0
slightly_different,3,2,1
currently_functional,3,3,0
truly_american,3,3,0
much_happier,3,2,1
really_erotic,3,2,1
less_respectful,3,2,1
too_ill,3,3,0
very_rewarding,3,2,1
that_strict,3,3,0
more_rabid,3,2,1
more_quirky,3,3,0
then_amazing,3,0,3
less_representative,3,2,1
n't_interested,3,3,0
outright_boring,3,3,0
really_extravagant,3,1,2
even_feasible,3,3,0
that_thin,3,3,0
less_reprehensible,3,2,1
inherently_romantic,3,0,3
truly_achievable,3,3,0
so_surreal,3,0,3
truly_afraid,3,3,0
remotely_revolutionary,3,2,1
truly_accurate,3,3,0
that_tiny,3,3,0
currently_willing,3,3,0
exceptionally_difficult,3,2,1
much_hotter,3,0,3
more_purposeful,3,2,1
currently_wrong,3,1,2
remotely_responsible,3,1,2
that_surprised,3,3,0
that_true,3,3,0
so_sweeping,3,1,2
exactly_young,3,3,0
outright_evil,3,3,0
very_masculine,3,2,1
so_intentional,3,1,2
more_quick,3,2,1
that_ugly,3,3,0
socially_relevant,3,3,0
so_tacky,3,2,1
so_supportive,3,3,0
exactly_square,3,3,0
more_prideful,3,2,1
really_foreign,3,2,1
that_wonderful,3,3,0
really_elegant,3,1,2
deeply_concerned,3,3,0
essentially_evil,3,1,2
so_superior,3,3,0
exactly_straightforward,3,3,0
culturally_neutral,3,3,0
exactly_stellar,3,3,0
that_wrong,3,2,1
more_redundant,3,2,1
especially_warm,3,3,0
that_skilled,3,3,0
outright_scary,3,1,2
socially_progressive,3,2,1
more_regressive,3,3,0
n't_funny,3,3,0
very_passionate,3,3,0
really_hilarious,3,2,1
really_hopeless,3,3,0
really_efficient,3,3,0
more_related,3,2,1
exceptionally_successful,3,2,1
exactly_similar,3,2,1
really_human,3,3,0
really_identical,3,3,0
more_relentless,3,0,3
really_glaring,3,0,3
just_yellow,3,2,1
really_extra,3,0,3
that_vulnerable,3,3,0
much_greater,3,3,0
truly_asleep,3,3,0
really_epic,3,1,2
actually_satisfactory,3,3,0
really_frustrated,3,3,0
n't_necessary,3,3,0
any_heavier,3,3,0
as_brazen,3,3,0
more_prized,3,2,1
so_notable,3,3,0
really_functional,3,1,2
remotely_religious,3,0,3
really_formal,3,1,2
actually_satisfying,3,3,0
that_specific,3,3,0
really_glamorous,3,2,1
more_pro-israel,3,2,1
really_equal,3,3,0
so_digital,2,2,0
long_wet,2,2,0
so_inaccessible,2,2,0
very_savory,2,1,1
so_logical,2,2,0
logically_possible,2,1,1
so_disillusioned,2,2,0
so_pungent,2,1,1
less_humane,2,1,1
always_calm,2,2,0
less_witty,2,1,1
so_puny,2,2,0
so_instantaneous,2,2,0
so_local,2,1,1
so_disruptive,2,2,0
so_inadequate,2,2,0
militarily_weaker,2,2,0
so_dignified,2,0,2
so_instant,2,2,0
likely_true,2,2,0
mildly_interesting,2,1,1
so_despondent,2,2,0
so_luminous,2,1,1
so_infectious,2,2,0
so_insurmountable,2,1,1
less_zealous,2,2,0
logically_inconsistent,2,1,1
so_loveable,2,2,0
so_loyal,2,1,1
so_lucid,2,2,0
so_intangible,2,0,2
so_likable,2,2,0
logistically_plausible,2,2,0
longer_conscious,2,2,0
so_prompt,2,1,1
likely_possible,2,2,0
longer_certain,2,2,0
so_individual,2,1,1
so_disjointed,2,2,0
longer_alive,2,2,0
longer_competitive,2,2,0
so_kinky,2,2,0
less_inadequate,2,2,0
longer_competent,2,2,0
so_legible,2,0,2
so_dismissive,2,2,0
longer_comparable,2,2,0
logically_consistent,2,2,0
very_standard,2,2,0
so_provocative,2,0,2
logically_contradictory,2,0,2
so_ironic,2,1,1
so_promising,2,2,0
mildly_inappropriate,2,2,0
so_insulting,2,1,1
long_winded,2,2,0
so_lavish,2,1,1
so_instrumental,2,2,0
less_worth,2,0,2
so_incisive,2,2,0
so_insufferable,2,2,0
less_wise,2,2,0
longer_dangerous,2,2,0
less_incisive,2,2,0
less_hungry,2,2,0
so_lovable,2,2,0
less_incendiary,2,2,0
so_destitute,2,1,1
less_impassioned,2,2,0
very_secretive,2,1,1
so_inconsistent,2,1,1
logistically_feasible,2,2,0
so_isolated,2,2,0
so_limitless,2,1,1
so_infrequent,2,2,0
so_promiscuous,2,2,0
so_jolly,2,0,2
less_inappropriate,2,2,0
long_dry,2,2,0
minimally_invasive,2,2,0
always_capable,2,2,0
so_devoid,2,2,0
so_intelligent,2,1,1
very_skeptical,2,2,0
very_receptive,2,2,0
less_scathing,2,2,0
longer_touted,2,2,0
less_ruinous,2,2,0
less_ruthless,2,2,0
less_sacred,2,1,1
longer_timid,2,2,0
so_nefarious,2,0,2
less_sad,2,1,1
longer_tentative,2,2,0
less_modest,2,2,0
less_modern,2,1,1
less_sane,2,2,0
less_satisfied,2,2,0
less_savage,2,2,0
so_guilty,2,2,0
less_mobile,2,2,0
longer_surprising,2,2,0
less_miserable,2,2,0
less_riveting,2,2,0
less_right,2,2,0
very_rigorous,2,2,0
so_noxious,2,1,1
less_reluctant,2,1,1
so_grave,2,2,0
so_facile,2,1,1
altogether_disappointed,2,2,0
so_greedy,2,1,1
longer_unique,2,2,0
medically_needed,2,2,0
less_repugnant,2,2,0
so_perplexing,2,1,1
so_notorious,2,1,1
less_naive,2,2,0
less_mysterious,2,2,0
so_noteworthy,2,0,2
always_angry,2,2,0
so_groovy,2,1,1
so_nonchalant,2,2,0
longer_surprised,2,2,0
longer_sufficient,2,2,0
so_downbeat,2,2,0
less_mighty,2,2,0
less_masculine,2,2,0
less_marvelous,2,2,0
mentally_handicapped,2,2,0
longer_shocking,2,2,0
so_musical,2,2,0
so_placid,2,1,1
longer_sensitive,2,2,0
less_silent,2,2,0
less_simplistic,2,2,0
so_muddy,2,2,0
less_malleable,2,1,1
less_solemn,2,2,0
less_malicious,2,2,0
longer_secret,2,2,0
altogether_false,2,2,0
less_solitary,2,1,1
longer_sacred,2,2,0
less_short,2,0,2
so_picturesque,2,2,0
longer_simple,2,2,0
less_sentimental,2,1,1
less_seductive,2,1,1
less_selfish,2,1,1
so_happier,2,2,0
mentally_capable,2,2,0
mentally_challenging,2,1,1
less_sensual,2,2,0
so_philosophical,2,0,2
longer_spontaneous,2,2,0
less_shocked,2,2,0
less_sexist,2,2,0
so_narcissistic,2,2,0
very_sad,2,1,1
longer_slender,2,2,0
less_shady,2,1,1
so_harmless,2,2,0
so_picky,2,2,0
less_noisy,2,2,0
so_gratified,2,2,0
less_relaxing,2,2,0
less_relatable,2,2,0
so_final,2,0,2
materially_significant,2,2,0
so_filthy,2,1,1
less_perilous,2,1,1
less_pressing,2,2,0
less_prestigious,2,2,0
so_one-sided,2,2,0
materially_wrong,2,0,2
also_unlikely,2,2,0
very_silly,2,2,0
less_primitive,2,2,0
so_festive,2,1,1
less_penetrating,2,0,2
less_peculiar,2,2,0
less_probable,2,2,0
majorly_different,2,0,2
altogether_bad,2,2,0
so_overdone,2,2,0
so_frenetic,2,1,1
so_overcrowded,2,2,0
marginally_better,2,2,0
so_foolhardy,2,2,0
less_poor,2,1,1
so_flimsy,2,0,2
markedly_better,2,2,0
marginally_successful,2,2,0
so_forthright,2,2,0
less_pragmatic,2,2,0
so_flattering,2,2,0
little_agreeable,2,2,0
less_predatory,2,1,1
less_perverse,2,2,0
less_pregnant,2,1,1
less_persuasive,2,2,0
less_prejudiced,2,2,0
less_prepared,2,2,0
so_flashy,2,0,2
less_patient,2,2,0
less_paranoid,2,2,0
also_unhappy,2,2,0
very_revolutionary,2,0,2
less_radiant,2,1,1
so_fantastical,2,0,2
so_particular,2,2,0
less_radical,2,0,2
longer_wary,2,2,0
so_obnoxious,2,1,1
longer_wanted,2,2,0
less_obscure,2,1,1
so_obtrusive,2,2,0
also_tough,2,2,0
less_reasonable,2,2,0
longer_violent,2,2,0
less_obnoxious,2,1,1
less_reflective,2,2,0
very_remote,2,2,0
medically_accurate,2,2,0
so_graceful,2,1,1
mechanically_complex,2,2,0
less_progressive,2,1,1
so_fuzzy,2,1,1
meaningfully_democratic,2,2,0
so_overworked,2,2,0
so_fast-paced,2,2,0
less_prominent,2,2,0
less_promising,2,2,0
less_prompt,2,1,1
so_futuristic,2,2,0
very_slim,2,2,0
very_sharp,2,1,1
magically_different,2,0,2
so_painstaking,2,1,1
less_operatic,2,2,0
so_paranoid,2,2,0
so_gloomy,2,2,0
so_far-fetched,2,1,1
so_glossy,2,2,0
so_plausible,2,2,0
less_majestic,2,1,1
very_relaxed,2,2,0
merely_incidental,2,2,0
so_marvelous,2,2,0
merely_passive,2,2,0
less_insulting,2,2,0
less_uneasy,2,1,1
less_unfortunate,2,2,0
very_speedy,2,2,0
longer_homogeneous,2,2,0
so_identifiable,2,1,1
merely_political,2,2,0
less_inspired,2,2,0
so_eerie,2,2,0
less_unhappy,2,2,0
so_prestigious,2,0,2
less_unhinged,2,2,0
merely_private,2,2,0
less_unique,2,1,1
longer_glossy,2,2,0
less_intelligible,2,2,0
merely_ordinary,2,2,0
so_prescriptive,2,2,0
so_predominant,2,1,1
less_irresponsible,2,2,0
merely_individual,2,2,0
so_emotive,2,1,1
so_mature,2,2,0
less_troubled,2,2,0
so_eminent,2,1,1
less_turbulent,2,2,0
merely_literal,2,2,0
so_icky,2,1,1
less_typical,2,0,2
so_humorous,2,1,1
so_prejudicial,2,2,0
less_uncertain,2,2,0
less_uncomfortable,2,2,0
so_elemental,2,0,2
merely_natural,2,2,0
so_eclectic,2,2,0
altogether_satisfying,2,1,1
so_illusory,2,2,0
so_implausible,2,2,0
so_primitive,2,1,1
merely_showy,2,2,0
merely_similar,2,2,0
so_impassioned,2,2,0
merely_subjective,2,2,0
less_vigilant,2,2,0
so_imperfect,2,2,0
longer_enough,2,2,0
longer_extant,2,2,0
altogether_harmonious,2,2,0
less_indignant,2,2,0
longer_efficient,2,2,0
so_lush,2,2,0
so_lurid,2,1,1
so_impoverished,2,1,1
very_self-conscious,2,2,0
merely_sensational,2,2,0
less_vague,2,2,0
less_insightful,2,2,0
so_prideful,2,2,0
less_unjust,2,1,1
less_unpopular,2,2,0
so_pretty,2,2,0
longer_fit,2,2,0
less_unsettling,2,2,0
less_ingenious,2,2,0
so_malleable,2,2,0
merely_ridiculous,2,2,0
so_imminent,2,2,0
longer_feasible,2,2,0
less_informative,2,2,0
less_unwilling,2,0,2
longer_fearful,2,2,0
merely_routine,2,2,0
less_upsetting,2,1,1
longer_farfetched,2,2,0
less_traumatic,2,2,0
merely_important,2,2,0
so_heavenly,2,1,1
merely_immoral,2,1,1
less_substantive,2,2,0
less_subversive,2,2,0
less_logical,2,2,0
merely_accidental,2,2,0
so_eventful,2,2,0
very_relatable,2,2,0
very_sane,2,2,0
so_ethereal,2,1,1
merely_angry,2,2,0
so_miraculous,2,0,2
merely_arbitrary,2,2,0
merely_black,2,2,0
so_equitable,2,2,0
so_pompous,2,1,1
less_suspicious,2,1,1
so_ephemeral,2,2,0
so_envious,2,2,0
less_sublime,2,2,0
less_subjective,2,1,1
so_misleading,2,1,1
less_startling,2,2,0
longer_respectable,2,2,0
less_splendid,2,1,1
longer_representative,2,2,0
longer_religious,2,2,0
mentally_stable,2,2,0
less_stark,2,1,1
less_luxurious,2,2,0
so_monotonous,2,1,1
mentally_tougher,2,1,1
less_stingy,2,2,0
so_monolithic,2,2,0
less_lucrative,2,2,0
less_stressful,2,2,0
longer_redundant,2,2,0
mentally_tired,2,2,0
so_mobile,2,2,0
so_enviable,2,1,1
merely_contemplative,2,2,0
so_homely,2,2,0
merely_honest,2,2,0
merely_external,2,1,1
so_portable,2,2,0
so_endearing,2,2,0
so_endangered,2,2,0
merely_good,2,2,0
less_timely,2,2,0
so_enamored,2,2,0
very_regular,2,2,0
longer_much,2,2,0
so_mediocre,2,1,1
longer_live,2,2,0
longer_lit,2,2,0
less_tough,2,1,1
longer_legitimate,2,2,0
always_best,2,2,0
merely_idle,2,2,0
so_populous,2,2,0
less_jubilant,2,2,0
less_lengthy,2,2,0
always_beautiful,2,2,0
less_legal,2,1,1
less_sympathetic,2,2,0
so_meticulous,2,2,0
longer_permissible,2,2,0
also_present,2,2,0
less_tangible,2,2,0
less_tense,2,2,0
longer_optional,2,2,0
so_energetic,2,2,0
so_enthused,2,2,0
also_possible,2,2,0
so_enlightened,2,2,0
so_populist,2,1,1
merely_different,2,2,0
merely_emotional,2,2,0
less_thorough,2,2,0
merely_biological,2,2,0
as_elementary,2,2,0
morally_better,2,2,0
really_decisive,2,1,1
over_impressed,2,2,0
really_desperate,2,2,0
over_fond,2,2,0
really_detailed,2,1,1
really_detectable,2,2,0
really_detrimental,2,0,2
over_elegant,2,2,0
really_devastating,2,0,2
over_busy,2,2,0
over_ambitious,2,2,0
outwardly_visible,2,2,0
outwardly_religious,2,1,1
outwardly_obvious,2,1,1
outwardly_insecure,2,2,0
outwardly_impressive,2,0,2
really_distracting,2,2,0
outwardly_glorious,2,0,2
outwardly_flashy,2,0,2
really_dormant,2,2,0
really_dull,2,2,0
outwardly_angry,2,2,0
outwardly_aggressive,2,1,1
outstandingly_original,2,0,2
really_eligible,2,2,0
really_else,2,0,2
really_demanding,2,0,2
over_sentimental,2,2,0
really_endearing,2,0,2
woefully_inadequate,2,2,0
overly_disturbing,2,0,2
absurdly_difficult,2,2,0
overly_detailed,2,1,1
overly_dense,2,1,1
really_compatible,2,2,0
overly_cute,2,2,0
overly_crunchy,2,2,0
overly_contrived,2,0,2
overly_congested,2,2,0
really_content,2,2,0
really_contradictory,2,0,2
really_contrary,2,1,1
overly_chewy,2,1,1
overly_chatty,2,2,0
overly_busy,2,2,0
overly_boisterous,2,2,0
overly_big,2,0,2
really_creepy,2,1,1
overly_attractive,2,1,1
overly_athletic,2,2,0
overly_appealing,2,0,2
overly_afraid,2,2,0
really_cryptic,2,1,1
really_curious,2,2,0
really_damaging,2,0,2
really_embarrassing,2,0,2
academically_ineligible,2,2,0
only_hard,2,2,0
really_global,2,2,0
really_grand,2,1,1
openly_vocal,2,2,0
really_green,2,2,0
openly_religious,2,2,0
really_handsome,2,2,0
really_happier,2,2,0
openly_defiant,2,2,0
openly_contemptuous,2,2,0
openly_available,2,2,0
really_heartfelt,2,2,0
openly_affectionate,2,2,0
really_heroic,2,2,0
only_worth,2,2,0
only_worse,2,2,0
really_hip,2,2,0
only_sweet,2,1,1
achingly_important,2,2,0
only_such,2,2,0
really_humorous,2,0,2
only_relevant,2,2,0
really_idle,2,2,0
only_qualified,2,2,0
only_loud,2,0,2
really_indicative,2,2,0
only_horizontal,2,2,0
oppressively_intimidating,2,2,0
ordinarily_respectable,2,2,0
outright_offensive,2,1,1
really_fussy,2,2,0
outright_nasty,2,2,0
really_equivalent,2,1,1
outright_irrational,2,2,0
outright_inappropriate,2,1,1
really_exclusive,2,2,0
outright_dismissive,2,2,0
really_experimental,2,1,1
outright_cruel,2,2,0
really_extreme,2,0,2
outrageously_wrong,2,0,2
academically_strong,2,2,0
outrageously_expensive,2,2,0
really_favorable,2,2,0
outrageously_appealing,2,2,0
out_wide,2,1,1
really_fishy,2,0,2
out_cold,2,2,0
otherwise_unlawful,2,2,0
otherwise_responsible,2,2,0
really_focused,2,2,0
really_frightening,2,1,1
really_frustrating,2,1,1
accidentally_mistaken,2,2,0
wildly_unlikely,2,2,0
really_further,2,0,2
overly_effective,2,2,0
really_cognizant,2,2,0
overly_enamored,2,2,0
realistically_attainable,2,2,0
realistically_open,2,2,0
yet_apparent,2,2,0
overly_sure,2,2,0
overly_substantial,2,0,2
really_absent,2,2,0
really_absolute,2,2,0
overly_stingy,2,2,0
overly_spicy,2,2,0
yet_afraid,2,2,0
really_achievable,2,2,0
overly_soft,2,1,1
overly_sociable,2,2,0
really_adept,2,2,0
overly_slick,2,1,1
overly_simplistic,2,2,0
really_admirable,2,1,1
really_advanced,2,0,2
overly_shocking,2,0,2
absolutely_strong,2,2,0
overly_secretive,2,1,1
really_alien,2,1,1
overly_salty,2,2,0
overly_salacious,2,0,2
really_allergic,2,2,0
overly_revolutionary,2,0,2
realistically_enough,2,2,0
real_warm,2,2,0
really_cocky,2,2,0
overly_tricky,2,1,1
overtly_harsh,2,1,1
overtly_graphic,2,0,2
real_impressed,2,2,0
overtly_gay,2,2,0
real_interested,2,2,0
overtly_feminine,2,0,2
overtly_extraordinary,2,0,2
overtly_exciting,2,1,1
overtly_evil,2,0,2
real_loving,2,2,0
real_negative,2,0,2
real_noticeable,2,0,2
real_obvious,2,0,2
real_rough,2,2,0
real_sharp,2,2,0
real_slow,2,1,1
real_solid,2,1,1
real_specific,2,0,2
real_spectacular,2,0,2
overly_wordy,2,2,0
real_strong,2,2,0
real_supportive,2,2,0
real_surprising,2,0,2
overly_upset,2,2,0
real_tricky,2,0,2
really_annoyed,2,2,0
overly_respectful,2,2,0
overly_quick,2,2,0
overly_pushy,2,2,0
overly_hopeful,2,2,0
overly_hilarious,2,0,2
overly_high,2,2,0
overly_gruesome,2,1,1
really_catastrophic,2,0,2
overly_glaring,2,0,2
overly_glamorous,2,1,1
really_cause,2,2,0
overly_full,2,2,0
overly_forceful,2,1,1
absolutely_unique,2,1,1
overly_flowery,2,0,2
overly_flexible,2,2,0
overly_firm,2,2,0
overly_feminine,2,1,1
really_chinese,2,1,1
overly_extravagant,2,1,1
overly_explosive,2,2,0
absolutely_weak,2,2,0
absolutely_white,2,2,0
overly_excessive,2,0,2
overly_erotic,2,1,1
overly_epic,2,0,2
overly_enthused,2,2,0
really_cliched,2,2,0
overly_hot,2,1,1
overly_humid,2,2,0
overly_idealistic,2,2,0
overly_noticeable,2,0,2
overly_prominent,2,2,0
overly_profound,2,2,0
really_astounding,2,0,2
overly_prescriptive,2,2,0
overly_preachy,2,2,0
overly_positive,2,0,2
overly_polite,2,2,0
overly_physical,2,2,0
overly_personal,2,2,0
really_autonomous,2,2,0
absolutely_superb,2,1,1
overly_notable,2,0,2
overly_intellectual,2,2,0
overly_needy,2,2,0
overly_modern,2,2,0
really_bitter,2,2,0
overly_materialistic,2,2,0
overly_masculine,2,1,1
overly_major,2,0,2
really_blind,2,2,0
really_blue,2,2,0
overly_judgmental,2,2,0
really_bothersome,2,2,0
really_brown,2,2,0
really_individual,2,2,0
really_insightful,2,0,2
real_fond,2,2,0
not_tired,2,2,0
not_synonymous,2,2,0
not_swift,2,2,0
not_sufficient,2,1,1
not_strong,2,2,0
not_spicy,2,2,0
not_sorry,2,2,0
really_transgender,2,2,0
not_silly,2,2,0
really_traumatic,2,0,2
not_shocked,2,2,0
not_serious,2,2,0
really_troubled,2,2,0
not_secure,2,2,0
not_sane,2,2,0
not_reversible,2,2,0
not_resistant,2,2,0
not_reasonable,2,2,0
really_unethical,2,0,2
really_unfair,2,1,1
not_proud,2,2,0
really_uniform,2,1,1
really_universal,2,2,0
not_paranoid,2,2,0
really_unlimited,2,2,0
really_unlocked,2,2,0
not_tenuous,2,2,0
not_toxic,2,2,0
not_ours,2,2,0
really_terrifying,2,1,1
really_skinny,2,2,0
really_slow,2,2,0
really_socialist,2,2,0
wildly_entertaining,2,2,0
noticeably_higher,2,2,0
really_spicy,2,2,0
really_standard,2,2,0
noticeably_better,2,2,0
really_stationary,2,2,0
notably_terrible,2,0,2
really_straight,2,2,0
really_strenuous,2,2,0
really_stronger,2,1,1
notably_new,2,1,1
notably_effective,2,2,0
notably_different,2,0,2
really_supernatural,2,1,1
really_supportive,2,2,0
not_worthy,2,2,0
really_sweet,2,2,0
really_sympathetic,2,2,0
