key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
NEG~less,NEGMIR,less,4865,4465.6399,42.79981,0.04607194,0.01556764,0.001652122,0.1867419,0.016676266,291732,26052,1701929,4865.0,286867.0,21187.0,1389010.0,291732.0,1410197.0,26052.0,1675877.0,287266.360091402,21586.360091402,1388610.639908598,5.7256293,0.030618282,0.037199143,0.001652122,0.01556764,0.01556764,0.008609881,399.3600999999999,0.0820884,0.033479713,0.026499828,0.03660529,0.04418153,0.08568271,0.055636752,69.74955196988724,540.122208393619,161.4063195788814,l
POS~obviously,POSMIR,obviously,1141,1128.5161,0.81795,0.02787442,0.00917321,5.1641e-05,0.83773863,0.000809121,1410172,1362,1701929,1141.0,1409031.0,221.0,291536.0,1410172.0,291757.0,1362.0,1700567.0,1409043.483907966,233.483907966,291523.516092034,0.36957937,0.001616681,0.004777888,5.1641e-05,0.00917321,0.00917321,0.0046124253,12.483899999999949,0.010941192,0.0,0.0,0.0,0.0,0.0,0.0,33.77869150810907,1187.5066315604304,36.90528417449187,o
POS~directly,POSMIR,directly,1333,1329.0307,0.06948,0.00698011,0.00247696,1.642e-05,0.83104736,0.000945275,1410172,1604,1701929,1333.0,1408839.0,271.0,291486.0,1410172.0,291757.0,1604.0,1700325.0,1408842.969301304,274.969301305,291482.030698695,0.10871738,0.001888402,0.001295137,1.642e-05,0.00247696,0.00247696,0.00124669,3.9692999999999756,0.0029777195,0.0,0.0,0.0,0.0,0.0,0.0,36.51027252705737,1187.5066315604304,40.049968789001575,d
POS~real,POSMIR,real,1502,1524.5739,-1.91633,-0.037035,-0.01228169,-9.338e-05,0.8163043,0.001065118,1410172,1840,1701929,1502.0,1408670.0,338.0,291419.0,1410172.0,291757.0,1840.0,1700089.0,1408647.426131172,315.426131172,291441.573868828,-0.5824666,0.002127461,-0.006478539,-0.01228169,-9.338e-05,0.01228169,-0.006187535,-22.573900000000094,-0.015029227,0.0,0.0,0.0,0.0,0.0,0.0,38.7556447501522,1187.5066315604304,42.89522117905443,r
POS~less,POSMIR,less,21187,21585.9774,-42.71592,-0.04602628,-0.01555273,-0.001650427,0.8132581,0.015024408,1410172,26052,1701929,21187.0,1388985.0,4865.0,286892.0,1410172.0,291757.0,26052.0,1675877.0,1388586.022592012,4466.022592012,287290.977407988,-2.7410285,0.029503753,-0.008102252,-0.01555273,-0.001650427,0.01555273,-0.008601579,-398.97739999999976,-0.018831236,-0.03333051,-0.026350625,-0.036456086,-0.044032324,-0.08553351,-0.055487547,145.557548756497,1187.5066315604304,161.4063195788814,l
POS~currently,POSMIR,currently,1079,1102.0018,-2.7319,-0.05160691,-0.01730808,-9.515e-05,0.8112782,0.000765155,1410172,1330,1701929,1079.0,1409093.0,251.0,291506.0,1410172.0,291757.0,1330.0,1700599.0,1409069.998236119,227.998236119,291529.001763881,-0.7002456,0.001528868,-0.009160845,-0.01730808,-9.515e-05,0.01730808,-0.008701615,-23.001800000000003,-0.021317702,0.0,0.0,0.0,0.0,0.0,0.0,32.848135411313685,1187.5066315604304,36.46916505762094,c
NEG~quite,NEGMIR,quite,6254,6957.2928,-90.31916,-0.05653619,-0.01775093,-0.002909469,0.15408495,0.021437485,291732,40588,1701929,6254.0,285478.0,34334.0,1375863.0,291732.0,1410197.0,40588.0,1661341.0,284774.707177562,33630.707177561,1376566.292822438,-8.893184,0.037638422,-0.046282407,-0.01775093,-0.002909469,0.01775093,-0.010330199,-703.2928000000002,-0.11245488,-0.084006436,-0.078171656,-0.08662293,-0.09297469,-0.1280088,-0.10260414,79.08223567907018,540.122208393619,201.4646370954466,q
POS~really,POSMIR,really,47568,48797.1352,-181.61925,-0.0632794,-0.02161874,-0.005084494,0.8077021,0.033732057,1410172,58893,1701929,47568.0,1362604.0,11325.0,280432.0,1410172.0,291757.0,58893.0,1643036.0,1361374.864751702,10095.864751702,281661.135248298,-5.635627,0.06475956,-0.011079435,-0.02161874,-0.005084494,0.02161874,-0.013351617,-1229.135199999997,-0.02583954,-0.12584755,-0.12128595,-0.12789078,-0.13284487,-0.1600177,-0.1403392,218.10089408344936,1187.5066315604304,242.6788000629639,r
POS~so,POSMIR,so,104720,107557.8579,-459.13757,-0.06928753,-0.02366658,-0.011739206,0.8067113,0.07426044,1410172,129811,1701929,104720.0,1305452.0,25091.0,266666.0,1410172.0,291757.0,129811.0,1572118.0,1302614.142126963,22253.142126963,269503.857873037,-8.76952,0.1360015,-0.011612511,-0.02366658,-0.011739206,0.02366658,-0.017702892,-2837.8579000000027,-0.027099483,-0.16028048,-0.1572255,-0.16164908,-0.16496801,-0.18318617,-0.16999024,323.60469712289404,1187.5066315604304,360.2929363726133,s
POS~politically,POSMIR,politically,2105,2172.5178,-11.80849,-0.07492681,-0.02579021,-0.000279297,0.8028223,0.001492726,1410172,2622,1701929,2105.0,1408067.0,517.0,291240.0,1410172.0,291757.0,2622.0,1699307.0,1407999.48223692,449.482236921,291307.517763079,-1.4716076,0.002979911,-0.013711236,-0.02579021,-0.000279297,0.02579021,-0.0130347535,-67.51780000000008,-0.032074966,0.0,0.0,0.0,0.0,-0.044393174,0.0,45.880278987817846,1187.5066315604304,51.20546845796843,p
POS~morally,POSMIR,morally,1168,1233.7448,-19.22755,-0.1239207,-0.04419235,-0.000271963,0.78441906,0.000828268,1410172,1489,1701929,1168.0,1409004.0,321.0,291436.0,1410172.0,291757.0,1489.0,1700440.0,1408938.255168106,255.255168106,291501.744831894,-1.9237126,0.001654788,-0.023782505,-0.04419235,-0.000271963,0.04419235,-0.022232156,-65.74479999999994,-0.056288358,0.0,0.0,0.0,0.0,-0.14756843,-0.024547717,34.17601498127012,1187.5066315604304,38.58756276314948,m
POS~truly,POSMIR,truly,10291,10866.7317,-168.68583,-0.12375628,-0.04423963,-0.002381597,0.78467405,0.007297691,1410172,13115,1701929,10291.0,1399881.0,2824.0,288933.0,1410172.0,291757.0,13115.0,1688814.0,1399305.268320829,2248.268320829,289508.731679171,-5.675333,0.014460892,-0.023641365,-0.04423963,-0.002381597,0.04423963,-0.023310613,-575.7317000000003,-0.055945165,-0.25070864,-0.24134454,-0.2549011,-0.26506153,-0.32067153,-0.28041896,101.44456614328833,1187.5066315604304,114.52074047961793,t
POS~physically,POSMIR,physically,1793,1897.4316,-31.50214,-0.12752981,-0.04566477,-0.000431996,0.7829694,0.001271476,1410172,2290,1701929,1793.0,1408379.0,497.0,291260.0,1410172.0,291757.0,2290.0,1699639.0,1408274.568391513,392.568391513,291364.431608487,-2.466277,0.002538829,-0.024585841,-0.04566477,-0.000431996,0.04566477,-0.023048382,-104.43159999999989,-0.05824406,-0.04134565,-0.018276805,-0.05165917,-0.07661626,-0.21229003,-0.11423856,42.34383071948026,1187.5066315604304,47.853944456021594,p
POS~entirely,POSMIR,entirely,7982,8614.6709,-251.21952,-0.16626291,-0.06122532,-0.002617134,0.7677215,0.005660302,1410172,10397,1701929,7982.0,1402190.0,2415.0,289342.0,1410172.0,291757.0,10397.0,1691532.0,1401557.329068369,1782.329068369,289974.670931631,-7.081447,0.011237751,-0.03312697,-0.06122532,-0.002617134,0.06122532,-0.031921227,-632.6708999999992,-0.079262204,-0.37684822,-0.36660346,-0.3814348,-0.39254993,-0.45337525,-0.40934932,89.3420393767682,1187.5066315604304,101.96568050084302,e
POS~actually,POSMIR,actually,3488,3777.4632,-119.10568,-0.1721253,-0.06366323,-0.001197406,0.76508003,0.002473457,1410172,4559,1701929,3488.0,1406684.0,1071.0,290686.0,1410172.0,291757.0,4559.0,1697370.0,1406394.536810878,781.536810878,290975.463189122,-4.9012303,0.004930973,-0.034623764,-0.06366323,-0.001197406,0.06366323,-0.032430317,-289.46320000000014,-0.0829883,-0.31001845,-0.2944288,-0.31699434,-0.33389053,-0.42612514,-0.3594028,59.0592922409336,1187.5066315604304,67.52036729757918,a
POS~longer,POSMIR,longer,2644,2871.0046,-96.08176,-0.17692298,-0.06564724,-0.000939037,0.76305914,0.001874949,1410172,3465,1701929,2644.0,1407528.0,821.0,290936.0,1410172.0,291757.0,3465.0,1698464.0,1407300.995404626,593.995404626,291163.004595374,-4.4147277,0.003740706,-0.035772435,-0.06564724,-0.000939037,0.06564724,-0.03329314,-227.0046000000002,-0.085856505,-0.28809604,-0.27017924,-0.29611146,-0.3155209,-0.4213639,-0.34481594,51.419840528729765,1187.5066315604304,58.86425061104575,l
NEG~completely,NEGMIR,completely,2481,4625.9106,-1417.20235,-0.31417608,-0.08075999,-0.008873333,0.09193315,0.008504381,291732,26987,1701929,2481.0,289251.0,24506.0,1385691.0,291732.0,1410197.0,26987.0,1674942.0,287106.089351554,22361.089351553,1387835.910648446,-43.06216,0.015568573,-0.2705705,-0.08075999,-0.008873333,0.08075999,-0.04481666,-2144.9106,-0.8645347,-0.87916505,-0.8703408,-0.88312423,-0.89274096,-0.94592303,-0.9073349,49.80963762164909,540.122208393619,164.2772047485591,c
NEG~much,NEGMIR,much,2200,4115.7869,-1269.73448,-0.3153511,-0.08092965,-0.007925465,0.09162467,0.007541168,291732,24011,1701929,2200.0,289532.0,21811.0,1388386.0,291732.0,1410197.0,24011.0,1677918.0,287616.213118174,19895.213118174,1390301.786881826,-40.844715,0.013935384,-0.2720302,-0.08092965,-0.007925465,0.08092965,-0.04442756,-1915.7869,-0.87081224,-0.8752463,-0.8658941,-0.8794427,-0.8896363,-0.9460291,-0.9051079,46.9041575982343,540.122208393619,154.9548321285916,m
