key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
COM~pretty,COMPLEMENT,pretty,1650041,1590562.753,107081.717,1.4499167,0.036698338,0.01913736,0.99859655,0.019855604,83102035,1652360,86330752,1650041.0,81451994.0,2319.0,3226398.0,83102035.0,3228717.0,1652360.0,84678392.0,81511472.24719785,61797.247197847,3166919.752802153,46.303177,0.038937002,0.036698338,0.015943928,0.01913736,0.036698338,0.036698338,0.00070230936,59478.246999999974,0.036046527,1261.1752,243.88162,4.635507,4.6266494,4.6394725,4.649082,4.704809,4.6563644,1284.5392169957288,9116.031757294399,1285.4415583759535
COM~supposedly,COMPLEMENT,supposedly,30854,29723.182,2118.5995,1.6897289,0.036635235,0.0003638452,0.99922276,0.0003712785,83102035,30878,86330752,30854.0,83071181.0,24.0,3228693.0,83102035.0,3228717.0,30878.0,86299874.0,83072311.8181988,1154.818198804,3227562.181801196,6.4377937,0.000742281,0.036635235,0.016216177,0.0003638452,0.036635235,0.036635235,1.3329554e-05,1130.8179999999993,0.036650613,172.40413,33.627636,4.1341314,4.04706,4.173115,4.26758,4.815398,4.3391657,175.65306715227035,9116.031757294399,175.72137035659608
COM~almost,COMPLEMENT,almost,466468,449502.722,31107.7168,1.5620828,0.03652837,0.0054586455,0.9989314,0.0056131957,83102035,466967,86330752,466468.0,82635567.0,499.0,3228218.0,83102035.0,3228717.0,466967.0,85863785.0,82652532.27844553,17464.278445518,3211252.721554482,24.839912,0.011163661,0.03652837,0.01608953,0.0054586455,0.03652837,0.03652837,0.00019939542,16965.27799999999,0.03636965,670.44965,130.25082,4.851882,4.8327856,4.860432,4.8811507,5.0013,4.896851,682.984626474125,9116.031757294399,683.3498371990734
COM~seemingly,COMPLEMENT,seemingly,176135,169710.339,11864.4051,1.6069943,0.036515385,0.00206716,0.99904144,0.0021195028,83102035,176304,86330752,176135.0,82925900.0,169.0,3228548.0,83102035.0,3228717.0,176304.0,86154448.0,82932324.66110894,6593.661108941,3222123.338891059,15.308315,0.004230032,0.036515385,0.016137363,0.00206716,0.036515385,0.036515385,7.548315e-05,6424.660999999993,0.036475778,411.95914,80.153984,4.771187,4.7383723,4.7858787,4.82148,5.027936,4.8484583,419.6844052380312,9116.031757294399,419.88569873240505
COM~hopefully,COMPLEMENT,hopefully,7834,7547.751,530.9533,1.6084085,0.036509957,9.21016e-05,0.99910724,9.42697e-05,83102035,7841,86330752,7834.0,83094201.0,7.0,3228710.0,83102035.0,3228717.0,7841.0,86322911.0,83094487.24857493,293.248574934,3228423.751425066,3.2340858,0.000188522,0.036509957,0.016165977,9.21016e-05,0.036509957,0.036509957,3.3626254e-06,286.2489999999998,0.036539316,86.87779,16.918894,2.649468,2.4882338,2.7216563,2.896582,3.9110053,3.0291407,88.50988645343524,9116.031757294399,88.54942122905152
COM~admittedly,COMPLEMENT,admittedly,13998,13486.997,945.1005,1.6052375,0.03647746,0.0001644172,0.99907213,0.0001684435,83102035,14011,86330752,13998.0,83088037.0,13.0,3228704.0,83102035.0,3228717.0,14011.0,86316741.0,83088548.00277814,524.002778141,3228192.997221859,4.3190703,0.00033683,0.03647746,0.01615072,0.0001644172,0.03647746,0.03647746,5.9975223e-06,511.0030000000006,0.03650543,116.13353,22.605375,3.33721,3.2188942,3.3901825,3.518545,4.2629404,3.615818,118.31314381758267,9116.031757294399,118.36807001890332
COM~partly,COMPLEMENT,partly,80461,77525.928,5418.007,1.6061151,0.036477342,0.0009443709,0.99904394,0.0009682194,83102035,80538,86330752,80461.0,83021574.0,77.0,3228640.0,83102035.0,3228717.0,80538.0,86250214.0,83024509.07163985,3012.071639849,3225704.928360152,10.347275,0.001934564,0.036477342,0.01613845,0.0009443709,0.036477342,0.036477342,3.444814e-05,2935.072,0.036478195,278.43478,54.176304,4.5012684,4.4526534,4.5230346,4.5757775,4.8816442,4.6157465,283.6564823867066,9116.031757294399,283.79217748204405
COM~mostly,COMPLEMENT,mostly,212255,204531.454,14160.6723,1.5680805,0.03643955,0.0024850816,0.9989505,0.0025541491,83102035,212478,86330752,212255.0,82889780.0,223.0,3228494.0,83102035.0,3228717.0,212478.0,86118274.0,82897503.54644878,7946.546448779,3220770.453551221,16.76439,0.005095271,0.03643955,0.016097825,0.0024850816,0.03643955,0.03643955,9.055526e-05,7723.546000000002,0.03638805,452.25153,87.883705,4.713848,4.685281,4.726639,4.7576323,4.937368,4.781119,460.711406414037,9116.031757294399,460.9533598966386
COM~understandably,COMPLEMENT,understandably,13111,12633.17,879.1722,1.5768038,0.03641437,0.0001537435,0.99900943,0.0001577699,83102035,13124,86330752,13111.0,83088924.0,13.0,3228704.0,83102035.0,3228717.0,13124.0,86317628.0,83089401.82952397,490.829523968,3228226.170476032,4.173064,0.00031549,0.03641437,0.01612346,0.0001537435,0.03641437,0.03641437,5.5984724e-06,477.8299999999999,0.03644497,112.39738,21.859324,3.2427025,3.1243832,3.2956767,3.4240432,4.1684623,3.5213194,114.50327506233174,9116.031757294399,114.56002793295748
COM~undoubtedly,COMPLEMENT,undoubtedly,12561,12103.74,838.3513,1.55819,0.036370803,0.0001471252,0.9989661,0.0001511515,83102035,12574,86330752,12561.0,83089474.0,13.0,3228704.0,83102035.0,3228717.0,12574.0,86318178.0,83089931.25986242,470.259862418,3228246.740137582,4.0799136,0.000302257,0.036370803,0.016104626,0.0001471252,0.036370803,0.036370803,5.3510616e-06,457.2600000000002,0.036403153,110.017,21.383638,3.1808317,3.0625098,3.233807,3.3621764,4.1066113,3.4594545,112.07586716149021,9116.031757294399,112.1338485917611
