key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~yet_eligible,448,0.5000353,4.6331778,1.0,621.0914961,NEGATED,yet_eligible,3173681,448,6347362,224.0,224.0,0.5,0.00014116101,0.00014116101,yet,53779,eligible,2531,2.9528537,10.583005,0.30103
NEGany~exactly_surprising,440,0.5000347,4.606661,1.0,610.0000219,NEGATED,exactly_surprising,3173681,440,6347362,220.0,220.0,0.5,0.00013864027,0.00013864027,exactly,44378,surprising,18886,2.9450362,10.488089,0.30103
NEGany~exactly_happy,439,0.5000346,4.603312,1.0,608.613589,NEGATED,exactly_happy,3173681,439,6347362,219.5,219.5,0.5,0.00013832518,0.00013832518,exactly,44378,happy,47131,2.944049,10.476164,0.30103
NEGmir~ever_easy,368,0.50031555,4.457519,1.0,510.3885803222656,NEGMIR,ever_easy,291735,368,583470,184.0,184.0,0.5,0.0012614188,0.0012614188,ever,4776,easy,7897,2.8680158,9.591663,0.30103
NEGany~any_easier,1594,0.48165032,4.4542675,0.9815271,1952.7981364,NEGATED,any_easier,3173681,1624,6347362,812.0,782.0,0.4905897,0.00049280317,0.0005022559,any,16176,easier,12945,1.7185388,19.58676,0.2929323
NEGany~that_sweet,392,0.5000309,4.436433,1.0,543.4516002,NEGATED,that_sweet,3173681,392,6347362,196.0,196.0,0.5,0.00012351589,0.00012351589,that,166680,sweet,13492,2.8949232,9.899495,0.30103
NEGany~yet_ripe,380,0.5000299,4.3905425,1.0,526.8146082,NEGATED,yet_ripe,3173681,380,6347362,190.0,190.0,0.5,0.00011973478,0.00011973478,yet,53779,ripe,1454,2.8814366,9.746795,0.30103
NEGany~necessarily_surprising,340,0.50002676,4.2260923,1.0,471.358296,NEGATED,necessarily_surprising,3173681,340,6347362,170.0,170.0,0.5,0.00010713112,0.00010713112,necessarily,42916,surprising,18886,2.8331935,9.219544,0.30103
NEGany~terribly_different,366,0.49730396,4.0994525,0.99727523,494.9830244,NEGATED,terribly_different,3173681,367,6347362,183.5,182.5,0.4986339,0.00011500841,0.0001153235,terribly,19801,different,80019,2.3880327,9.539428,0.299845
NEGany~immediately_obvious,2238,0.46900186,4.087785,0.9688312,2561.9067376,NEGATED,immediately_obvious,3173681,2310,6347362,1155.0,1083.0,0.4839142,0.00068248826,0.00070517487,immediately,57730,obvious,22422,1.4899156,22.892775,0.2872781
NEGany~terribly_interested,486,0.4918747,4.0819173,0.9918367,632.8886955,NEGATED,terribly_interested,3173681,490,6347362,245.0,241.0,0.49588478,0.00015187412,0.00015313448,terribly,19801,interested,34247,2.0339363,10.931982,0.29747018
