adj_lemma,SUM,very,more,most,so,not,as,too,really,much,pretty,less,even,also,quite,extremely,how,still,highly,just,relatively,completely,always,particularly,almost,only,far,now,all,increasingly,truly,slightly,incredibly,fairly,rather,especially,well,totally,absolutely,often,somewhat,super,entirely,already,that,equally,no,fully,mostly,potentially,nearly,long,largely,perfectly,deeply,seemingly,sometimes,politically,actually,generally,immediately,usually,probably,both,significantly,easily,never,least,ever,surprisingly,overly,currently,partly,simply,once,otherwise
young,98721,23174,4148,2430,6796,627,10739,16829,1506,4863,1999,78,926,282,1429,409,314,4985,3,238,3754,13,91,281,24,293,224,57,460,165,20,438,179,809,249,160,58,2,3,197,130,148,3,42,109,89,48,2,1287,9,3,195,114,3,1,20,34,3,49,163,1,100,59,237,257,8,12,5,116,64,6,10,1,21,65,41
significant,98079,9886,12144,34371,1660,1437,2634,327,956,61,2133,1661,46,1143,1162,708,489,654,1336,43,90,4,59,1441,3,211,3,17,65,379,331,7,220,1029,412,938,10,5,21,83,66,10,5,204,308,544,7,0,4,939,12,46,10,1,121,32,41,301,44,30,8,33,31,47,2,0,6,211,5,47,27,5,0,2,17,15
short,98028,23209,783,154,3436,1590,3303,12938,1467,4139,1347,33,979,387,1023,1442,194,934,4,5337,8591,18,257,132,8,260,3871,121,104,185,24,1104,461,1642,1048,71,1965,4,4,300,482,528,9,257,82,65,81,1,136,36,4,52,8,4,3,57,77,2,105,217,3,321,83,80,555,3,505,39,104,295,26,53,2,39,9,17
useful,97081,22929,11797,10195,1686,2099,2814,209,3945,516,748,1373,234,3139,1989,4067,418,832,1055,184,26,41,633,4696,6,1412,3,35,179,148,506,22,1733,112,172,4276,33,42,30,356,157,427,49,30,329,364,1,29,92,791,1,513,7,54,10,23,167,183,588,180,203,45,76,225,34,3,24,135,52,148,17,5,7,28,24,60
cool,95838,11153,1170,127,7408,3663,3372,2381,20231,1904,16573,308,1078,481,797,384,1497,773,5,625,578,456,526,225,69,147,121,89,311,34,110,612,522,169,393,264,29,1107,57,45,170,3510,23,78,156,97,12,32,40,23,5,111,6,61,10,22,21,1,223,116,15,84,44,87,68,3,74,40,47,105,14,11,2,43,344,33
active,95730,13705,18569,15200,772,1706,1967,329,498,198,569,2071,51,2264,925,1135,182,4249,1229,37,127,23,423,900,3,420,0,498,188,731,41,17,195,352,73,427,44,11,2,62,87,359,5,564,93,92,0,263,132,69,9,1063,17,4,4,7,21,2998,65,54,17,76,8,140,10,1,29,212,44,58,145,1405,2,3,120,31
famous,95236,4210,5971,66197,1823,756,1925,186,432,103,319,592,75,1850,649,200,64,125,37,106,62,2,31,282,146,232,3,2164,50,41,46,17,116,84,168,172,61,14,7,18,113,154,2,537,76,331,0,0,103,3,14,72,7,0,0,3,21,7,45,11,5,17,9,48,13,1,12,35,76,2,3,14,3,8,382,15
ready,93147,411,1946,289,1794,31611,1094,563,1812,277,60,155,488,1432,4690,19,199,460,7,1320,4,862,7963,23,2606,198,14,5331,3901,48,461,6,3,11,5,16,162,322,243,88,19,27,141,370,43,64,1,868,25,21,826,45,7,85,1,116,10,11,311,62,156,212,277,264,1,14,153,26,795,4,2,76,4,115,282,35
exciting,90601,15573,14599,24080,4752,692,3044,687,6761,158,2685,1107,95,504,1031,983,297,255,91,199,12,15,1478,956,18,111,1,11,96,36,595,6,1254,51,275,511,7,47,39,64,44,714,10,79,342,312,0,2,17,121,8,26,1,3,12,5,33,1,63,10,10,22,7,257,3,0,15,130,20,31,79,4,0,12,34,21
proud,86396,26474,2629,3820,14386,1991,1197,1626,6415,34,1179,100,108,1799,1399,4312,445,587,11,511,6,24,449,1497,57,87,0,328,521,14,352,26,1948,16,313,1220,9,35,43,37,35,611,18,55,43,298,0,8,23,0,0,33,2,3,182,13,6,1,156,11,0,17,22,183,1,0,25,26,18,1,47,2,1,20,594,9
similar,84708,36765,3685,1359,2831,644,959,1842,500,521,2436,102,111,866,4459,653,241,93,242,132,490,52,42,31,632,64,5,66,374,97,21,145,238,1010,475,13,7,36,22,214,2911,41,38,24,76,13,2,4,98,33,96,6,267,10,8,138,41,13,129,236,4,82,271,132,27,1,5,25,2,448,25,13,8,10,14,183
less,84099,1055,144,28,216,3322,753,94,78,23223,14,24,5290,317,65,33,1,582,2,486,272,6,149,11,30,192,13390,158,69,101,4,3926,28,7,222,3,71,4,3,335,1036,1,2,39,4,2,12340,0,24,80,9,2,2,1,1,40,122,0,227,150,5,189,359,17,4267,3,375,3,80,20,0,13,0,24,10,16
responsible,83929,1104,4296,2691,124,15918,1060,41,436,141,51,265,95,7085,37,65,70,672,196,80,16,290,178,41,15,839,6,906,571,160,219,13,24,14,3,31,13,252,45,354,140,15,451,150,37,527,2,1011,289,128,2,161,3221,7,21,15,24,94,456,174,17,235,293,126,28,2,62,154,23,1,27,336,2296,8,67,54
fun,83831,5002,14715,5658,5741,5235,3433,267,11713,1524,2605,835,399,1500,1300,631,87,1538,7,1716,34,35,4771,392,69,666,0,16,525,11,242,1,1009,56,284,463,3,228,72,98,64,2381,12,46,0,151,1,3,91,35,2,65,8,28,3,12,90,2,468,54,10,83,32,370,4,1,762,80,32,247,5,0,3,119,16,26
impossible,80959,60,321,239,408,9721,679,75,334,776,219,34,853,498,655,6,48,266,40,718,22,589,97,9,20224,135,13,395,45,123,121,7,9,37,86,10,30,330,731,704,35,5,199,57,99,145,2,2,33,32,14767,30,58,13,0,2297,404,403,212,56,19,159,434,50,0,0,49,1,16,1,0,147,2,1117,73,193
familiar,80922,8335,9746,3572,3521,15776,2023,5557,480,115,711,1846,137,680,1679,268,196,150,109,74,109,211,66,143,49,363,1,1032,2156,309,20,81,100,280,191,68,340,106,16,45,753,87,151,4043,463,95,1,127,107,6,2,160,37,65,216,51,12,1,60,93,189,41,1165,279,1,19,5,81,25,42,498,28,10,7,271,52
free,80322,665,6322,874,1058,6962,1436,283,728,1156,124,808,620,1985,227,34,206,1259,6,204,1192,9479,1688,23,581,491,28,3112,1436,57,1587,4,25,97,49,22,121,8275,5508,356,51,20,1465,251,19,124,3,348,481,38,406,287,683,347,2,66,90,27,312,437,37,444,37,273,6,9,257,97,142,67,1,535,222,41,302,155
busy,78583,14103,387,254,9369,2277,1771,23512,2364,424,2231,811,318,689,1567,2051,149,709,7,320,90,14,1505,583,6,46,55,436,585,312,23,32,824,359,416,287,14,19,1,225,59,1368,3,974,184,105,12,9,37,14,2,15,4,0,1,8,26,2,55,39,5,296,127,110,12,0,38,68,113,61,183,437,2,24,50,92
valuable,76896,7071,15211,25931,2668,507,3003,1177,1162,433,206,1901,37,471,560,3340,480,316,1241,46,13,6,109,1067,2,311,0,15,80,360,404,2,1329,31,41,1064,4,10,17,44,16,112,0,22,102,432,3,4,7,553,0,30,2,1,23,13,14,25,92,11,13,21,10,39,12,0,2,171,2,14,2,2,0,4,24,24
special,76607,32587,7051,2467,9925,938,1387,463,5776,86,2859,264,54,270,705,416,328,107,8,162,7,20,523,1033,3,102,6,7,181,2,2628,13,450,9,478,73,9,16,43,13,81,560,8,54,159,89,0,6,31,13,1,78,0,1,10,4,1,0,38,1,2,8,5,17,1,1,6,6,15,3,40,0,0,23,7,16
positive,75620,17457,16851,3171,1534,1412,1675,230,2103,642,821,834,124,429,821,1744,72,451,432,80,289,192,853,224,452,314,8,34,667,158,139,322,530,366,149,64,20,121,299,54,299,133,280,45,54,182,3,12,1413,254,19,29,737,19,18,96,34,9,102,1663,14,78,20,152,137,1,30,52,21,195,152,11,1,14,11,105
