bigram_lower,SUM,pos-mirror-R,pos-mirror-L
so_sure,296,284,12
very_worried,295,286,9
just_nice,295,290,5
so_trivial,295,26,269
very_curious,294,258,36
so_quiet,294,268,26
relatively_small,293,246,47
pretty_great,293,253,40
fundamentally_different,293,82,211
simply_curious,292,291,1
publicly_available,292,282,10
pretty_awesome,292,210,82
just_different,291,276,15
more_mysterious,291,130,161
sexually_explicit,291,285,6
very_deep,289,136,153
still_open,289,286,3
just_lucky,289,287,2
so_basic,288,50,238
only_possible,288,244,44
more_general,288,151,137
too_sweet,287,269,18
so_horrible,287,79,208
all_good,287,281,6
that_great,287,193,94
mutually_exclusive,286,286,0
better_able,285,273,12
as_silly,284,40,244
most_recent,284,281,3
vitally_important,284,176,108
very_generous,284,273,11
that_good,283,267,16
keenly_aware,283,272,11
just_good,283,277,6
really_useful,282,163,119
seriously_ill,281,273,8
really_weird,281,103,178
very_appealing,281,137,144
quite_beautiful,280,196,84
very_emotional,280,247,33
not_new,280,267,13
very_soft,280,253,27
as_valuable,279,141,138
rather_different,278,41,237
even_deadly,278,275,3
even_angry,277,277,0
clearly_wrong,277,249,28
so_scared,277,268,9
very_confident,276,264,12
extremely_rare,276,211,65
as_dangerous,276,154,122
long_lasting,275,232,43
more_delicious,275,235,40
totally_unique,274,54,220
not_worthy,274,242,32
so_precious,274,74,200
so_ridiculous,274,137,137
more_engaging,274,173,101
truly_remarkable,274,36,238
as_stupid,274,60,214
already_aware,274,273,1
very_angry,273,261,12
morally_wrong,273,202,71
more_intelligent,273,185,88
more_original,272,48,224
too_sensitive,272,269,3
even_smaller,272,219,53
so_overwhelming,271,256,15
not_acceptable,271,258,13
relatively_simple,271,171,100
more_authentic,271,131,140
not_open,270,268,2
very_obvious,270,211,59
more_convincing,270,238,32
too_fast,269,265,4
as_likely,269,262,7
even_painful,269,269,0
very_heavy,269,206,63
most_powerful,269,266,3
very_rich,269,230,39
very_knowledgeable,269,251,18
very_limited,268,258,10
little_more,268,240,28
really_awesome,268,123,145
so_magical,268,68,200
more_nuanced,267,143,124
more_mundane,267,74,193
too_deep,266,255,11
more_confident,266,245,21
so_subtle,265,229,36
more_honest,265,185,80
really_supportive,265,263,2
more_deserving,265,166,99
plain_weird,264,259,5
that_much,264,196,68
not_correct,263,254,9
more_devastating,262,213,49
as_expensive,262,199,63
very_long,261,260,1
very_tasty,261,233,28
as_smart,261,127,134
very_light,261,219,42
too_aggressive,261,259,2
so_upset,261,239,22
so_rare,260,143,117
too_harsh,260,256,4
more_contemporary,260,74,186
very_surprised,260,260,0
more_direct,259,160,99
super_friendly,259,258,1
so_strange,259,162,97
very_tough,259,246,13
less_costly,258,230,28
very_enthusiastic,258,256,2
too_bright,258,249,9
still_intact,257,247,10
very_fine,257,243,14
not_strong,257,252,5
more_solid,257,56,201
just_flat,256,251,5
so_true,256,213,43
all_bad,255,255,0
really_serious,255,114,141
very_costly,255,249,6
just_great,255,249,6
quite_easy,254,242,12
so_confusing,254,246,8
too_serious,254,232,22
as_cool,253,118,135
more_reasonable,253,124,129
more_curious,253,236,17
pretty_interesting,253,183,70
slightly_larger,253,213,40
not_obvious,253,244,9
even_illegal,252,250,2
not_successful,251,251,0
more_ominous,251,68,183
highly_qualified,251,237,14
so_talented,250,192,58
so_willing,250,229,21
more_elegant,250,82,168
too_full,250,245,5
just_bored,250,250,0
n't_perfect,250,250,0
more_confusing,250,241,9
more_worthy,249,154,95
far_bigger,249,28,221
not_free,249,248,1
very_nervous,248,245,3
perfectly_normal,248,226,22
so_awful,248,102,146
too_wet,248,247,1
really_hot,248,171,77
super_nice,248,244,4
more_visible,248,233,15
deeply_concerned,248,242,6
very_involved,247,239,8
easily_available,247,238,9
so_popular,246,205,41
fairly_new,246,187,59
more_vital,246,182,64
as_significant,246,87,159
too_cool,245,237,8
very_sick,245,217,28
as_innocent,245,41,204
too_prevalent,245,245,0
wide_open,245,223,22
too_painful,245,235,10
just_lazy,244,244,0
not_accessible,244,242,2
quite_serious,244,196,48
even_many,244,236,8
extremely_excited,243,242,1
totally_unrelated,243,57,186
extremely_happy,243,241,2
nearly_identical,243,220,23
even_black,243,242,1
so_crazy,242,180,62
very_much,241,202,39
more_dynamic,241,75,166
always_available,241,223,18
too_drunk,241,231,10
so_dark,241,173,68
more_easy,240,224,16
even_non-existent,240,240,0
very_critical,239,208,31
very_affordable,239,229,10
more_careful,239,233,6
longer_pink,239,239,0
just_relaxing,239,239,0
so_glad,239,235,4
nearly_free,239,238,1
very_disturbing,238,133,105
so_obsessed,237,206,31
more_puzzling,237,227,10
just_ready,237,237,0
too_broad,237,234,3
as_elaborate,237,203,34
very_frustrating,237,226,11
so_successful,236,185,51
more_spectacular,236,126,110
more_palatable,236,78,158
not_practical,236,233,3
more_economical,235,202,33
as_tall,235,195,40
super_easy,235,208,27
too_important,235,200,35
more_competitive,234,203,31
more_immediate,234,78,156
