prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
time,88,75,7,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
than,87,23,37,8,4,0,0,1,7,0,0,2,3,0,1,1,0,0
both,85,74,1,3,0,0,1,0,1,0,0,0,3,0,1,1,0,0
constantly,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
your,78,71,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0
doubt,77,5,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0
maybe,75,68,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0
statistically,73,71,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
on,73,67,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0
there,73,40,2,14,0,12,0,0,0,2,2,0,0,1,0,0,0,0
for,72,62,0,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0
initially,71,68,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
then,70,67,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
],69,58,1,3,1,2,0,1,0,1,1,0,0,0,0,0,0,1
somehow,69,61,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0
slightly,68,58,1,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0
became,67,7,46,3,5,0,2,0,3,0,1,0,0,0,0,0,0,0
rather,66,57,1,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0
us,64,14,1,3,31,0,0,0,3,12,0,0,0,0,0,0,0,0
fairly,63,55,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naturally,63,60,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
appeared,62,13,25,3,10,0,0,0,2,3,0,0,2,0,0,4,0,0
terribly,62,53,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0
obviously,60,50,1,3,2,1,0,0,0,1,2,0,0,0,0,0,0,0
physically,59,55,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
fully,59,54,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
*,59,51,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
anywhere,58,44,3,2,5,2,0,0,0,1,1,0,0,0,0,0,0,0
especially,58,50,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
stay,56,52,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
/,55,35,1,4,0,0,1,6,1,3,1,1,0,0,1,1,0,0
our,54,51,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
system,54,46,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
:,53,40,2,7,0,2,0,1,1,0,0,0,0,0,0,0,0,0
however,52,45,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0
women,51,43,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0
with,51,44,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
longer,49,33,1,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0
here,49,10,0,33,0,1,0,0,2,0,2,0,0,1,0,0,0,0
considerably,48,43,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
apparently,48,34,0,4,6,2,0,0,1,1,0,0,0,0,0,0,0,0
percent,47,44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
god,46,43,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
remain,46,40,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
ultimately,46,43,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
has,45,9,11,3,7,1,0,0,0,1,2,0,8,0,0,3,0,0
virtually,45,43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
potentially,45,31,0,6,4,0,0,0,3,1,0,0,0,0,0,0,0,0
earth,44,4,0,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0
totally,44,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
food,44,40,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
those,44,32,0,0,7,2,0,0,2,0,0,0,1,0,0,0,0,0
again,44,6,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
