adj_form_lower,SUM,not,n't,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,nit,fewer,aint,nt,nones,na,n''t,doe,nothings,oud,w/o,nots,\'t,n,nobodies,nto,n-t,nod,n'y,nat,n't-,n`t,nys,amp,ane,dne,owo,nobody's,n'l,nobodys,nothingis,itl,fewest,ima,non-exalts,n'a
able,14198,9376,3299,931,24,98,74,38,7,110,47,71,33,31,1,36,6,2,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
many,14145,13054,565,163,5,47,15,90,40,120,4,0,7,3,3,18,3,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accurate,13606,9604,3422,213,40,96,72,6,33,12,50,3,12,29,2,2,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necessary,13525,9159,3701,293,82,94,65,11,33,6,15,0,23,22,1,2,2,5,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comfortable,13161,8516,3412,865,154,53,40,9,18,18,35,19,12,3,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
familiar,13143,9829,2999,38,41,52,25,33,12,59,15,14,10,2,3,1,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
worried,13064,8168,4356,297,31,25,33,22,13,23,13,65,3,2,8,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interesting,12477,6712,4070,237,818,307,75,18,49,65,36,2,22,27,4,9,15,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucky,12347,7060,5091,87,7,11,6,5,5,38,3,13,5,10,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun,11779,6399,3617,793,741,82,25,1,40,23,14,3,6,13,15,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,11645,8691,2545,71,169,58,16,8,28,21,14,0,7,3,9,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serious,11030,6015,2717,314,1528,160,25,65,89,22,18,11,28,18,4,1,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exciting,10826,5010,2872,379,2254,153,25,6,26,19,28,7,15,21,2,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleased,10708,4481,4620,164,2,1311,21,2,14,13,11,27,16,11,9,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,10602,6998,2871,302,82,21,71,101,11,14,52,10,5,30,19,2,5,0,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likely,10507,7235,2345,101,225,107,149,24,123,54,60,34,17,9,0,4,0,3,0,7,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,10429,5350,2905,12,1750,262,48,10,15,27,27,4,4,4,6,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
funny,9958,5589,3449,379,233,84,41,9,11,41,26,5,5,30,45,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,9854,6867,2247,174,88,209,52,63,6,47,45,4,9,19,1,13,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
related,9788,7898,1590,10,57,104,39,10,6,31,24,0,4,6,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
useful,9765,6660,2540,77,191,80,56,5,48,42,27,0,10,14,1,5,2,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nice,9761,6059,3388,92,90,42,19,9,10,18,5,6,3,4,9,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
helpful,9262,6060,2791,37,119,81,43,3,28,30,39,2,7,12,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keen,9131,4992,3717,210,4,122,25,0,4,7,24,15,0,0,1,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet,9014,6225,2002,171,152,44,52,303,14,7,19,0,2,5,9,1,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satisfied,8972,6309,1620,873,8,25,18,5,3,15,20,34,16,9,6,3,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impressive,8904,4716,3193,101,313,318,24,6,94,20,48,10,35,13,0,0,2,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
