key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,adv,adv_total,adj,adj_total
NEGmir~particularly_revolutionary,39,0.8286047,3.149092,1.0,137.5707156,NEGMIR,particularly_revolutionary,291735,39,1701929,6.6851584,32.314842224121094,0.8285857,2.581975,5.1745157,0.7659529,particularly,13003,revolutionary,485
NEGany~remotely_qualified,57,0.52078635,3.1302023,0.56435645,222.78724,NEGATED,remotely_qualified,3173681,101,72839571,4.4006544,52.5993456,0.92279553,1.4527723,6.9669533,1.1123576,remotely,16426,qualified,74643
NEGmir~any_easier,61,0.7528573,3.0442011,0.92424244,181.6450806,NEGMIR,any_easier,291735,66,1701929,11.313345,49.68665313720703,0.8145353,1.7328914,6.3617244,0.7317388,any,1197,easier,2386
NEGmir~remotely_true,61,0.7528573,3.0442011,0.92424244,181.6450806,NEGMIR,remotely_true,291735,66,1701929,11.313345,49.68665313720703,0.8145353,1.7328914,6.3617244,0.7317388,remotely,2341,true,6191
NEGany~remotely_comparable,118,0.3824234,2.9778008,0.4259928,375.73222,NEGATED,remotely_comparable,3173681,277,72839571,12.069122,105.930878,0.8977193,1.2124296,9.751728,0.99020636,remotely,16426,comparable,12252
NEGmir~necessarily_bad,50,0.772006,2.9530065,0.9433962,154.4453411,NEGMIR,necessarily_bad,291735,53,1701929,9.0849589,40.915042877197266,0.81830084,1.8435866,5.7862606,0.740647,necessarily,1107,bad,10261
NEGmir~inherently_bad,148,0.61588776,2.863199,0.78723407,342.5281092,NEGMIR,inherently_bad,291735,188,1701929,32.2258919,115.77410888671875,0.7822575,1.2487693,9.516573,0.66205674,inherently,5133,bad,10261
NEGany~inherently_evil,358,0.27522236,2.81228,0.31878895,905.79074,NEGATED,inherently_evil,3173681,1123,72839571,48.930049,309.069951,0.86332387,1.012045,16.334854,0.8643074,inherently,47803,evil,22706
NEGany~remotely_interested,330,0.2671675,2.7377312,0.31073445,817.05267,NEGATED,remotely_interested,3173681,1062,72839571,46.272228,283.727772,0.85978115,0.9958613,15.6187,0.8531935,remotely,16426,interested,264528
NEGmir~any_worse,87,0.65719765,2.732848,0.82857144,217.4575647,NEGMIR,any_worse,291735,105,1701929,17.9985035,69.00149536132812,0.7931206,1.3592501,7.397737,0.68428284,any,1197,worse,8790
NEGmir~that_keen,31,0.82860076,2.730316,1.0,109.3503772,NEGMIR,that_keen,291735,31,1701929,5.3138439,25.686155319213867,0.8285857,2.4836764,4.61337,0.7659529,that,5494,keen,1360
NEGmir~particularly_radical,31,0.82860076,2.730316,1.0,109.3503772,NEGMIR,particularly_radical,291735,31,1701929,5.3138439,25.686155319213867,0.8285857,2.4836764,4.61337,0.7659529,particularly,13003,radical,1072
NEGmir~any_bigger,36,0.8015761,2.7256637,0.972973,118.169512,NEGMIR,any_bigger,291735,37,1701929,6.3423298,29.657670974731445,0.82382417,2.0705447,4.942945,0.75405365,any,1197,bigger,3923
NEGmir~remotely_comparable,44,0.764777,2.723461,0.9361702,134.0231549,NEGMIR,remotely_comparable,291735,47,1701929,8.056473,35.94352722167969,0.81689835,1.7886463,5.4186907,0.7373077,remotely,2341,comparable,283
NEGmir~necessarily_true,53,0.72691596,2.6882935,0.89830506,150.4158719,NEGMIR,necessarily_true,291735,59,1701929,10.1134448,42.88655471801758,0.80918026,1.5998073,5.8909216,0.71937674,necessarily,1107,true,6191
NEGany~ever_satisfied,64,0.38027102,2.5658622,0.42384106,203.01008,NEGATED,ever_satisfied,3173681,151,72839571,6.5791962,57.4208038,0.89720005,1.2090167,7.1776004,0.9880071,ever,114075,satisfied,62862
NEGmir~yet_available,28,0.82859933,2.5371408,1.0,98.7678441,NEGMIR,yet_available,291735,28,1701929,4.7996009,23.20039939880371,0.8285857,2.4402063,4.3844633,0.7659529,yet,815,available,10284
NEGany~inherently_negative,75,0.3450311,2.5014129,0.38860103,222.62638,NEGATED,inherently_negative,3173681,193,72839571,8.4091713,66.5908287,0.8878777,1.145695,7.6892467,0.9503081,inherently,47803,negative,53385
NEGmir~terribly_interesting,56,0.6770968,2.4364045,0.8484849,145.156862,NEGMIR,terribly_interesting,291735,66,1701929,11.313345,44.68665313720703,0.79797596,1.4152292,5.9715056,0.694597,terribly,4610,interesting,12447
NEGmir~particularly_fast,26,0.8285983,2.393107,1.0,91.7128503,NEGMIR,particularly_fast,291735,26,1701929,4.4567723,21.543228149414062,0.8285857,2.4086044,4.2249746,0.7659529,particularly,13003,fast,1259
NEGmir~terribly_interested,39,0.735581,2.3579566,0.90697676,112.4597678,NEGMIR,terribly_interested,291735,43,1701929,7.3708157,31.62918472290039,0.8110047,1.6277312,5.064723,0.72354907,terribly,4610,interested,8255
NEGmir~any_closer,57,0.6546992,2.326587,0.82608694,141.8187674,NEGMIR,any_closer,291735,69,1701929,11.827588,45.17241287231445,0.79249847,1.3471287,5.983232,0.6829787,any,1197,closer,993
NEGmir~exactly_new,29,0.7952664,2.3142862,0.96666664,93.9027008,NEGMIR,exactly_new,291735,30,1701929,5.1424296,23.85757064819336,0.8226749,1.9780633,4.4302397,0.75122964,exactly,1041,new,12836
NEGmir~terribly_unusual,24,0.82859737,2.2340012,1.0,84.6578794,NEGMIR,terribly_unusual,291735,24,1701929,4.1139436,19.886056900024414,0.8285857,2.3745215,4.059224,0.7659529,terribly,4610,unusual,2302
NEGmir~terribly_special,24,0.82859737,2.2340012,1.0,84.6578794,NEGMIR,terribly_special,291735,24,1701929,4.1139436,19.886056900024414,0.8285857,2.3745215,4.059224,0.7659529,terribly,4610,special,15541
NEGany~inherently_good,283,0.19687414,2.2054944,0.2404418,554.71668,NEGATED,inherently_good,3173681,1177,72839571,51.282874,231.717126,0.8187884,0.8424627,13.774154,0.7418141,inherently,47803,good,1681795
NEGany~remotely_similar,152,0.22834505,2.2007232,0.27191412,334.61003,NEGATED,remotely_similar,3173681,559,72839571,24.356097,127.643903,0.8397625,0.91461736,10.353288,0.7952359,remotely,16426,similar,203453
NEGmir~necessarily_right,23,0.8285969,2.1477878,1.0,81.1304024,NEGMIR,necessarily_right,291735,23,1701929,3.9425293,19.057470321655273,0.8285857,2.356422,3.9737573,0.7659529,necessarily,1107,right,5576
NEGmir~that_impressive,23,0.8285969,2.1477878,1.0,81.1304024,NEGMIR,that_impressive,291735,23,1701929,3.9425293,19.057470321655273,0.8285857,2.356422,3.9737573,0.7659529,that,5494,impressive,5007
NEGmir~any_good,32,0.74288666,2.1215084,0.9142857,93.5304053,NEGMIR,any_good,291735,35,1701929,5.9995012,26.000499725341797,0.8125156,1.6521518,4.5962825,0.7270348,any,1197,good,31585
NEGany~remotely_accurate,50,0.3295641,2.1004868,0.37313432,143.77998,NEGATED,remotely_accurate,3173681,134,72839571,5.838492,44.161508,0.88323015,1.1178979,6.2453804,0.93266934,remotely,16426,accurate,152299
NEGmir~inherently_illegal,26,0.7915612,2.0970032,0.962963,83.5347192,NEGMIR,inherently_illegal,291735,27,1701929,4.6281866,21.37181282043457,0.8219928,1.9314828,4.1913576,0.7495625,inherently,5133,illegal,937
NEGmir~remotely_believable,21,0.8285959,1.9594134,1.0,74.0754655,NEGMIR,remotely_believable,291735,21,1701929,3.5997007,17.400299072265625,0.8285857,2.3177896,3.7970567,0.7659529,remotely,2341,believable,600
NEGmir~yet_certain,21,0.8285959,1.9594134,1.0,74.0754655,NEGMIR,yet_certain,291735,21,1701929,3.5997007,17.400299072265625,0.8285857,2.3177896,3.7970567,0.7659529,yet,815,certain,1800
NEGmir~any_younger,20,0.8285954,1.8559141,1.0,70.5480056,NEGMIR,any_younger,291735,20,1701929,3.4282864,16.571714401245117,0.8285857,2.2971034,3.7055478,0.7659529,any,1197,younger,939
NEGmir~exactly_easy,20,0.8285954,1.8559141,1.0,70.5480056,NEGMIR,exactly_easy,291735,20,1701929,3.4282864,16.571714401245117,0.8285857,2.2971034,3.7055478,0.7659529,exactly,1041,easy,18610
NEGmir~remotely_funny,41,0.6325262,1.8513904,0.8039216,97.9044848,NEGMIR,remotely_funny,291735,51,1701929,8.7421303,32.257869720458984,0.7867773,1.2812065,5.0378327,0.6711666,remotely,2341,funny,5365
NEGmir~immediately_available,162,0.4177441,1.8457446,0.5890909,241.5269082,NEGMIR,immediately_available,291735,275,1701929,47.1389376,114.8610610961914,0.7090189,0.84035367,9.024338,0.5361352,immediately,1195,available,10284
NEGmir~that_comfortable,23,0.7869301,1.8440251,0.9583333,73.1925956,NEGMIR,that_comfortable,291735,24,1701929,4.1139436,18.886056900024414,0.8211329,1.8793002,3.938015,0.7474695,that,5494,comfortable,4642
NEGmir~that_fond,23,0.7869301,1.8440251,0.9583333,73.1925956,NEGMIR,that_fond,291735,24,1701929,4.1139436,18.886056900024414,0.8211329,1.8793002,3.938015,0.7474695,that,5494,fond,1115
NEGmir~necessarily_new,23,0.7869301,1.8440251,0.9583333,73.1925956,NEGMIR,necessarily_new,291735,24,1701929,4.1139436,18.886056900024414,0.8211329,1.8793002,3.938015,0.7474695,necessarily,1107,new,12836
NEGmir~remotely_interesting,56,0.5558836,1.8027802,0.72727275,115.1995817,NEGMIR,remotely_interesting,291735,77,1701929,13.1989025,42.80109786987305,0.7643053,1.1039766,5.7195373,0.6276502,remotely,2341,interesting,12447
NEGmir~terribly_popular,19,0.8285949,1.7450981,1.0,67.0205513,NEGMIR,terribly_popular,291735,19,1701929,3.2568721,15.743127822875977,0.8285857,2.2753825,3.6117213,0.7659529,terribly,4610,popular,5668
NEGmir~yet_sure,19,0.8285949,1.7450981,1.0,67.0205513,NEGMIR,yet_sure,291735,19,1701929,3.2568721,15.743127822875977,0.8285857,2.2753825,3.6117213,0.7659529,yet,815,sure,6761
NEGmir~yet_clear,19,0.8285949,1.7450981,1.0,67.0205513,NEGMIR,yet_clear,291735,19,1701929,3.2568721,15.743127822875977,0.8285857,2.2753825,3.6117213,0.7659529,yet,815,clear,6722
NEGmir~remotely_similar,71,0.49216804,1.7013134,0.6635514,127.3199169,NEGMIR,remotely_similar,291735,107,1701929,18.3413321,52.658668518066406,0.7416714,0.9763975,6.249434,0.5878275,remotely,2341,similar,7011
NEGmir~inherently_better,44,0.5743683,1.6504006,0.7457627,93.9496899,NEGMIR,inherently_better,291735,59,1701929,10.1134448,33.88655471801758,0.770149,1.1423789,5.1085906,0.63855356,inherently,5133,better,14013
NEGmir~necessarily_better,27,0.6995662,1.6266112,0.87096775,72.9028386,NEGMIR,necessarily_better,291735,31,1701929,5.3138439,21.686155319213867,0.80319095,1.4704489,4.173503,0.70595497,necessarily,1107,better,14013
NEGmir~inherently_improper,18,0.82859445,1.6259196,1.0,63.4931028,NEGMIR,inherently_improper,291735,18,1701929,3.0854577,14.914542198181152,0.8285857,2.2525182,3.5153913,0.7659529,inherently,5133,improper,142
NEGmir~yet_ready,18,0.82859445,1.6259196,1.0,63.4931028,NEGMIR,yet_ready,291735,18,1701929,3.0854577,14.914542198181152,0.8285857,2.2525182,3.5153913,0.7659529,yet,815,ready,3034
NEGmir~any_clearer,17,0.82859397,1.4971021,1.0,59.9656599,NEGMIR,any_clearer,291735,17,1701929,2.9140434,14.085956573486328,0.8285857,2.228383,3.4163463,0.7659529,any,1197,clearer,130
NEGmir~remotely_surprising,17,0.82859397,1.4971021,1.0,59.9656599,NEGMIR,remotely_surprising,291735,17,1701929,2.9140434,14.085956573486328,0.8285857,2.228383,3.4163463,0.7659529,remotely,2341,surprising,2662
NEGmir~any_higher,21,0.7416392,1.4204904,0.9130435,61.2373539,NEGMIR,any_higher,291735,23,1701929,3.9425293,17.057470321655273,0.8122605,1.6188189,3.7222452,0.72644436,any,1197,higher,2893
NEGmir~remotely_possible,38,0.559372,1.4199891,0.7307692,78.7283396,NEGMIR,remotely_possible,291735,52,1701929,8.9135446,29.086456298828125,0.765433,1.1084347,4.7184463,0.62973315,remotely,2341,possible,3160
NEGmir~that_clear,18,0.77596277,1.3037058,0.94736844,56.0338539,NEGMIR,that_clear,291735,19,1701929,3.2568721,14.743127822875977,0.81906265,1.7753967,3.4749887,0.7424718,that,5494,clear,6722
NEGmir~terribly_clear,15,0.82859296,1.2038459,1.0,52.9107912,NEGMIR,terribly_clear,291735,15,1701929,2.5712148,12.42878532409668,0.8285857,2.1756737,3.2090986,0.7659529,terribly,4610,clear,6722
NEGmir~necessarily_illegal,15,0.82859296,1.2038459,1.0,52.9107912,NEGMIR,necessarily_illegal,291735,15,1701929,2.5712148,12.42878532409668,0.8285857,2.1756737,3.2090986,0.7659529,necessarily,1107,illegal,937
NEGmir~inherently_evil,58,0.41446838,1.1805929,0.5858586,85.7023272,NEGMIR,inherently_evil,291735,99,1701929,16.9700176,41.02998352050781,0.7074135,0.83347124,5.387501,0.5337457,inherently,5133,evil,1271
NEGany~inherently_problematic,58,0.16581608,1.1730673,0.20938627,98.70267,NEGATED,inherently_problematic,3173681,277,72839571,12.069122,45.930878,0.79191166,0.7671848,6.0310197,0.6817523,inherently,47803,problematic,33408
NEGmir~immediately_clear,31,0.5495298,1.1319572,0.7209302,62.9445546,NEGMIR,immediately_clear,291735,43,1701929,7.3708157,23.62918472290039,0.76223177,1.0857327,4.243927,0.6238461,immediately,1195,clear,6722
NEGmir~terribly_remarkable,14,0.8285925,1.0349178,1.0,49.3833653,NEGMIR,terribly_remarkable,291735,14,1701929,2.3998005,11.600199699401855,0.8285857,2.1467085,3.1002836,0.7659529,terribly,4610,remarkable,3238
NEGmir~remotely_new,19,0.692231,1.0021896,0.8636364,50.6231826,NEGMIR,remotely_new,291735,22,1701929,3.771115,15.22888469696045,0.8015203,1.4302837,3.4937458,0.7022838,remotely,2341,new,12836
