        l1  l2                       f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff        f1       f2         N  
   NEGATED  noticable              132       40.22               874                 1704                667    3527        352           45         1453                3939                3527                  45                 485           1453             138.68                138.68               0.558   0.0001        7.99         0.086       0.00003                0.124              0.00004                0.086              0.00003           91.78   3148010     1064  83280549  
   NEGATED  conclusive             694      211.91               272                  543                674    1227        132           46          481                3940                1232                  46                 177            481             726.94                726.94               0.556   0.0004       18.30         0.086       0.00016                0.124              0.00022                0.086              0.00015          482.09   3148010     5606  83280549  
   NEGATED  edifying               145       44.68               834                 1628                679    3336        329           47         1373                3941                3336                  47                 454           1373             149.88                149.88               0.553   0.0001        8.33         0.085       0.00003                0.123              0.00005                0.085              0.00003          100.32   3148010     1182  83280549  
   NEGATED  overpowering           644      199.36               287                  573                685    1292        139           48          511                3942                1295                  48                 184            511             661.24                661.24               0.549   0.0004       17.52         0.084       0.00015                0.122              0.00020                0.084              0.00014          444.64   3148010     5274  83280549  
   NEGATED  apparent              7773     2411.64                37                   73                687     146         28           49           54                3943                 147                  49                  32             54            7963.51               7963.51               0.549   0.0048       60.81         0.084       0.00177                0.122              0.00247                0.084              0.00170         5361.36   3148010    63800  83280549  
   NEGATED  comparable            1996      625.18               130                  259                701     538         75           50          207                3944                 541                  50                  94            207            2014.79               2014.79               0.544   0.0013       30.68         0.083       0.00045                0.121              0.00063                0.083              0.00044         1370.82   3148010    16539  83280549  
   NEGATED  feasible              3729     1191.57                82                  163                720     310         51           51          121                3945                 311                  51                  60            121            3654.31               3654.31               0.534   0.0023       41.55         0.081       0.00084                0.118              0.00118                0.080              0.00081         2537.43   3148010    31523  83280549  
   NEGATED  pushy                  403      129.43               418                  833                728    1776        188           52          705                3946                1777                  52                 246            705             391.72                391.72               0.531   0.0003       13.63         0.080       0.00009                0.118              0.00013                0.080              0.00009          273.57   3148010     3424  83280549  
   NEGATED  truthful               770      251.37               271                  541                757    1140        127           53          448                3947                1142                  53                 168            448             730.02                730.02               0.523   0.0005       18.69         0.078       0.00017                0.116              0.00024                0.078              0.00016          518.63   3148010     6650  83280549  
   NEGATED  easy                 87499    29044.77                 5                    9                756       7          4           54            4                3948                   4                  54                   3              4           81971.28              81971.28               0.523   0.0447      197.61         0.077       0.01930                0.114              0.02780                0.076              0.01857        58454.23   3148010   768379  83280549  
