,hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
265640,apw_eng_20021001_0758_23:7,neg-mit,so_fortunate,so,fortunate,"But a few players were n't so fortunate getting to the stadium _ they got on the wrong train and ended up in Richmond , about 15 miles to the north .",apw_eng_20021001_0758_23,7,apw_eng_200210,We looked like a pack of wolves coming off that thing .  -RDQ-,"They got to the ballpark just before batting practice , starting pitcher Brad Radke included .",apw_eng_20021001,Apw,2002-10-01,negative,few_det-of-subj,few,det-of-subj,False,156,2002,True
23831,apw_eng_20030204_0035_4:6,neg-ext-nonsubj,immediately_available,immediately,available,No other details were not immediately available .,apw_eng_20030204_0035_4,6,apw_eng_200302,The Maldives lie 500 kilometers -LRB- 300 miles -RRB- off the Indian coast .,,apw_eng_20030204,Apw,2003-02-04,negative,not_VP-adv,not,VP-adv,False,72683,2003,True
247829,apw_eng_20030204_0035_4:6,neg-ext-subj,immediately_available,immediately,available,No other details were not immediately available .,apw_eng_20030204_0035_4,6,apw_eng_200302,The Maldives lie 500 kilometers -LRB- 300 miles -RRB- off the Indian coast .,,apw_eng_20030204,Apw,2003-02-04,negative,no_subj-det,no,subj-det,False,2606,2003,True
258969,apw_eng_20030417_0614_32:13,unknown-polarity,as_good,as,good,"-LBQ-  You have to count on everybody , and everybody was n't as good as I thought they could be ,  -RDQ-  the coach said .",apw_eng_20030417_0614_32,13,apw_eng_200304,Lewis clearly was not happy with his best players .,-LBQ-  I just do n't think we satisfied our commitments enough .,apw_eng_20030417,Apw,2003-04-17,unknown,everybody_subj,everybody,subj,False,114,2003,True
8559,apw_eng_20030417_0614_32:13,neg-ext-nonsubj,as_good,as,good,"-LBQ-  You have to count on everybody , and everybody was n't as good as I thought they could be ,  -RDQ-  the coach said .",apw_eng_20030417_0614_32,13,apw_eng_200304,Lewis clearly was not happy with his best players .,-LBQ-  I just do n't think we satisfied our commitments enough .,apw_eng_20030417,Apw,2003-04-17,negative,not_VP-adv,not,VP-adv,False,67153,2003,True
342,apw_eng_20050111_0088_2:9,neg-ext-nonsubj,even_ready,even,ready,"-LBQ-  They 're just kids who are n't even ready to see their own parents die , never mind mass casualties .",apw_eng_20050111_0088_2,9,apw_eng_200501,"The chaplain ponders the death and destruction just a few kilometers -LRB- miles -RRB- away and wonders how to prepare Americans , some still in their self-centered teens , to encounter death and destruction on a Biblical scale when they 've grown up with video games , malls and general ignorance of the world outside the United States .","American culture has not prepared them for this ,  -RDQ-  says Lt. Norbert J. Karava .",apw_eng_20050111,Apw,2005-01-11,negative,never_VP-adv,never,VP-adv,False,1188,2005,True
18692,apw_eng_20050111_0088_2:9,neg-ext-nonsubj,even_ready,even,ready,"-LBQ-  They 're just kids who are n't even ready to see their own parents die , never mind mass casualties .",apw_eng_20050111_0088_2,9,apw_eng_200501,"The chaplain ponders the death and destruction just a few kilometers -LRB- miles -RRB- away and wonders how to prepare Americans , some still in their self-centered teens , to encounter death and destruction on a Biblical scale when they 've grown up with video games , malls and general ignorance of the world outside the United States .","American culture has not prepared them for this ,  -RDQ-  says Lt. Norbert J. Karava .",apw_eng_20050111,Apw,2005-01-11,negative,not_VP-adv,not,VP-adv,False,15880,2005,True
49498,apw_eng_20050204_0020_11:20,neg-ext-nonsubj,only_ineffective,only,ineffective,"French Industry Minister Patrick Devedjian said he agreed that  -LBQ-  every campaign of blind and brutal repression is not only ineffective , but harms all people concerned .  -RDQ-",apw_eng_20050204_0020_11,20,apw_eng_200502,"Several well-known Green Party and Socialist Party lawmakers and French anti-globalization protester Jose Bove were among others French personalities who had joined the campaign , the magazine said .","However , he told TF1 television that  -LBQ-  the concept of everything for free is an illusion .  -RDQ-",apw_eng_20050204,Apw,2005-02-04,negative,not_VP-adv,not,VP-adv,False,5009,2005,True
261307,apw_eng_20050204_0020_11:20,unknown-polarity,only_ineffective,only,ineffective,"French Industry Minister Patrick Devedjian said he agreed that  -LBQ-  every campaign of blind and brutal repression is not only ineffective , but harms all people concerned .  -RDQ-",apw_eng_20050204_0020_11,20,apw_eng_200502,"Several well-known Green Party and Socialist Party lawmakers and French anti-globalization protester Jose Bove were among others French personalities who had joined the campaign , the magazine said .","However , he told TF1 television that  -LBQ-  the concept of everything for free is an illusion .  -RDQ-",apw_eng_20050204,Apw,2005-02-04,unknown,every_det-of-subj,every,det-of-subj,False,297,2005,True
18163,apw_eng_20051031_0612_12:8,neg-ext-nonsubj,even_chelsea,even,chelsea,"-LBQ-  No team is unbeatable , not even Chelsea ,  -RDQ-  Betis forward Ricardo Oliveira said .",apw_eng_20051031_0612_12,8,apw_eng_200510,"Still , there is some hope .","-LBQ-  Even when Chelsea plays in top form , and despite the fact that it is a great team , it can be beaten .  -RDQ-",apw_eng_20051031,Apw,2005-10-31,negative,not_VP-adv,not,VP-adv,False,47833,2005,True
