colloc,positive_raw,negative_raw,positive_plus1,negative_plus1,total,positive_ratio,negative_ratio,positive_skew,negative_skew
real_close,52,0,53,1,106,0.4906,0.0,1.3282,0.0
pretty_upset,52,0,53,1,106,0.4906,0.0,1.3282,0.0
totally_committed,52,0,53,1,106,0.4906,0.0,1.3282,0.0
so_frightened,52,0,53,1,106,0.4906,0.0,1.3282,0.0
very_depressed,52,0,53,1,106,0.4906,0.0,1.3282,0.0
very_unfair,52,0,53,1,106,0.4906,0.0,1.3282,0.0
no_fool,52,0,53,1,106,0.4906,0.0,1.3282,0.0
so_thick,104,1,105,2,212,0.4906,0.0047,1.3282,0.0969
really_tough,156,2,157,3,318,0.4906,0.0063,1.3282,0.1299
very_afraid,51,0,52,1,104,0.4904,0.0,1.3276,0.0
quite_happy,154,2,155,3,314,0.4904,0.0064,1.3276,0.1319
quite_low,51,0,52,1,104,0.4904,0.0,1.3276,0.0
just_terrible,51,0,52,1,104,0.4904,0.0,1.3276,0.0
decidedly_mixed,51,0,52,1,104,0.4904,0.0,1.3276,0.0
too_polite,51,0,52,1,104,0.4904,0.0,1.3276,0.0
eerily_similar,51,0,52,1,104,0.4904,0.0,1.3276,0.0
quite_obvious,51,0,52,1,104,0.4904,0.0,1.3276,0.0
predominantly_white,51,0,52,1,104,0.4904,0.0,1.3276,0.0
very_uncomfortable,51,0,52,1,104,0.4904,0.0,1.3276,0.0
so_glad,154,2,155,3,314,0.4904,0.0064,1.3276,0.1319
really_nice,151,2,152,3,308,0.4903,0.0065,1.3273,0.134
virtually_identical,101,1,102,2,206,0.4903,0.0049,1.3273,0.101
exceptionally_strong,50,0,51,1,102,0.4902,0.0,1.3271,0.0
also_quick,50,0,51,1,102,0.4902,0.0,1.3271,0.0
surprisingly_strong,50,0,51,1,102,0.4902,0.0,1.3271,0.0
extremely_vulnerable,50,0,51,1,102,0.4902,0.0,1.3271,0.0
still_out,50,0,51,1,102,0.4902,0.0,1.3271,0.0
extremely_proud,50,0,51,1,102,0.4902,0.0,1.3271,0.0
very_beneficial,50,0,51,1,102,0.4902,0.0,1.3271,0.0
half_empty,50,0,51,1,102,0.4902,0.0,1.3271,0.0
absolutely_false,50,0,51,1,102,0.4902,0.0,1.3271,0.0
relatively_young,50,0,51,1,102,0.4902,0.0,1.3271,0.0
really_frustrating,50,0,51,1,102,0.4902,0.0,1.3271,0.0
still_wary,50,0,51,1,102,0.4902,0.0,1.3271,0.0
very_sweet,49,0,50,1,100,0.49,0.0,1.3265,0.0
also_wary,49,0,50,1,100,0.49,0.0,1.3265,0.0
also_full,49,0,50,1,100,0.49,0.0,1.3265,0.0
pretty_positive,49,0,50,1,100,0.49,0.0,1.3265,0.0
very_curious,49,0,50,1,100,0.49,0.0,1.3265,0.0
very_selective,49,0,50,1,100,0.49,0.0,1.3265,0.0
too_little,245,4,246,5,500,0.49,0.008,1.3265,0.1649
quite_surprised,49,0,50,1,100,0.49,0.0,1.3265,0.0
so_tiny,49,0,50,1,100,0.49,0.0,1.3265,0.0
absolutely_right,146,2,147,3,298,0.4899,0.0067,1.3263,0.1381
extremely_high,97,1,98,2,198,0.4899,0.0051,1.3263,0.1051
just_happy,485,9,486,10,990,0.4899,0.0091,1.3263,0.1876
virtually_unheard,48,0,49,1,98,0.4898,0.0,1.326,0.0
especially_acute,48,0,49,1,98,0.4898,0.0,1.326,0.0
awfully_hard,48,0,49,1,98,0.4898,0.0,1.326,0.0
also_open,48,0,49,1,98,0.4898,0.0,1.326,0.0
overwhelmingly_white,48,0,49,1,98,0.4898,0.0,1.326,0.0
still_necessary,48,0,49,1,98,0.4898,0.0,1.326,0.0
harshly_critical,48,0,49,1,98,0.4898,0.0,1.326,0.0
mostly_due,48,0,49,1,98,0.4898,0.0,1.326,0.0
so_unique,48,0,49,1,98,0.4898,0.0,1.326,0.0
generally_good,48,0,49,1,98,0.4898,0.0,1.326,0.0
also_skeptical,48,0,49,1,98,0.4898,0.0,1.326,0.0
still_sore,48,0,49,1,98,0.4898,0.0,1.326,0.0
fairly_clear,48,0,49,1,98,0.4898,0.0,1.326,0.0
very_thankful,48,0,49,1,98,0.4898,0.0,1.326,0.0
pretty_difficult,48,0,49,1,98,0.4898,0.0,1.326,0.0
extremely_dangerous,48,0,49,1,98,0.4898,0.0,1.326,0.0
pretty_confident,96,1,97,2,196,0.4898,0.0051,1.326,0.1051
too_easy,433,8,434,9,884,0.4898,0.009,1.326,0.1855
too_costly,190,3,191,4,388,0.4897,0.0077,1.3257,0.1587
so_small,477,9,478,10,974,0.4897,0.0092,1.3257,0.1896
so_similar,94,1,95,2,192,0.4896,0.0052,1.3254,0.1072
very_gratifying,47,0,48,1,96,0.4896,0.0,1.3254,0.0
quite_concerned,47,0,48,1,96,0.4896,0.0,1.3254,0.0
about_halfway,47,0,48,1,96,0.4896,0.0,1.3254,0.0
still_unable,47,0,48,1,96,0.4896,0.0,1.3254,0.0
very_scared,47,0,48,1,96,0.4896,0.0,1.3254,0.0
always_afraid,47,0,48,1,96,0.4896,0.0,1.3254,0.0
still_unresolved,47,0,48,1,96,0.4896,0.0,1.3254,0.0
really_neat,47,0,48,1,96,0.4896,0.0,1.3254,0.0
still_short,47,0,48,1,96,0.4896,0.0,1.3254,0.0
pretty_darn,47,0,48,1,96,0.4896,0.0,1.3254,0.0
primarily_due,47,0,48,1,96,0.4896,0.0,1.3254,0.0
particularly_troubling,47,0,48,1,96,0.4896,0.0,1.3254,0.0
too_broad,140,2,141,3,286,0.4895,0.007,1.3252,0.1443
too_few,46,0,47,1,94,0.4894,0.0,1.3249,0.0
certainly_worth,46,0,47,1,94,0.4894,0.0,1.3249,0.0
quite_difficult,46,0,47,1,94,0.4894,0.0,1.3249,0.0
just_like,46,0,47,1,94,0.4894,0.0,1.3249,0.0
mostly_white,46,0,47,1,94,0.4894,0.0,1.3249,0.0
so_unpopular,46,0,47,1,94,0.4894,0.0,1.3249,0.0
quite_positive,46,0,47,1,94,0.4894,0.0,1.3249,0.0
grossly_unfair,46,0,47,1,94,0.4894,0.0,1.3249,0.0
relatively_strong,46,0,47,1,94,0.4894,0.0,1.3249,0.0
also_difficult,46,0,47,1,94,0.4894,0.0,1.3249,0.0
very_fragile,46,0,47,1,94,0.4894,0.0,1.3249,0.0
increasingly_worried,46,0,47,1,94,0.4894,0.0,1.3249,0.0
really_exciting,92,1,93,2,188,0.4894,0.0053,1.3249,0.1093
critically_important,92,1,93,2,188,0.4894,0.0053,1.3249,0.1093
just_right,227,4,228,5,464,0.4892,0.0086,1.3244,0.1773
