colloc,be-ADV-ADJ_positive,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,no-one_subj-NP,no_subj-det,nobody_subj-NP,none_subj-NP,not-a-single_subj-det,not-one_subj-NP,not-one_subj-det,not_VP-adv,nothing_subj-NP,without-being_PP,every_det-of-subj,everybody_subj,everyone_subj,never_VP-adv
inherently_lachrymose,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
very_class-conscious,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
exactly_transcribed,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
completely_homogenized,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
essentially_segregated,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
extremely_muddy,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
simply_strong,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0194,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
fully_evident,0.0415,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0065,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
very_insular,-0.0199,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0194,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
totally_befuddled,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
fundamentally_untrue,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
constitutionally_impossible,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
still_magnificent,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
unbearably_hard,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
utterly_shocked,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
so_excited,11.2804,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,0.4308,-0.041,-0.0515,3.8409,91.9191,72.7099,11.2622
overwhelmingly_pro-prosecutor,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
essentially_symbolic,-0.0199,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
reportedly_high,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
often_antagonistic,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
