colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
just_phenomenal,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
just_pink,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
just_procedural,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
just_rusting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
just_senseless,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
just_unrelated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
just_whining,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
largely_grass-roots,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
largely_liberal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
largely_unseen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
largely_untested,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
legally_controlled,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
legally_slaves,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
legally_tricky,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
legally_vulnerable,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
likely_interested,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
materially_inconsistent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mentally_incapacitated,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
mercifully_brief,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mighty_lucky,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
morally_blind,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
morally_different,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mostly_cloudy,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
mostly_defective,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
