adj,cross_context_sum,not_VP-adv,never_VP-adv,no_subj-det,none_subj-NP,no-one_subj-NP,few_det-of-subj,nothing_subj-NP,nobody_subj-NP,few_subj,without-being_PP,neither_subj-NP,neither_subj-det,not-one_subj-NP,not-a-single_subj-det,not-one_subj-det
responsible,520,468,2,13,10,17,3,0,0,2,0,1,4,0,0,0
nice,520,506,8,0,1,2,2,0,1,0,0,0,0,0,0,0
impressed,517,498,12,1,1,3,0,1,0,1,0,0,0,0,0,0
willing,503,444,6,8,10,10,10,0,4,5,0,4,2,0,0,0
satisfied,496,441,35,0,2,6,1,0,2,1,0,2,6,0,0,0
over,487,453,24,1,0,0,0,8,0,0,1,0,0,0,0,0
deep,487,471,9,3,2,0,0,0,1,0,0,1,0,0,0,0
motivated,487,457,6,1,12,1,0,3,0,5,1,0,1,0,0,0
familiar,484,465,1,4,2,0,6,1,1,2,2,0,0,0,0,0
exciting,475,441,11,4,3,0,8,5,0,1,0,0,2,0,0,0
pretty,460,435,12,2,2,0,2,3,0,1,1,1,1,0,0,0
active,458,398,30,6,10,0,3,1,0,7,0,1,2,0,0,0
free,447,380,17,22,4,3,5,10,2,4,0,0,0,0,0,0
open,438,397,16,8,5,0,6,0,0,4,1,0,1,0,0,0
enthusiastic,435,400,15,0,3,5,3,0,5,2,1,1,0,0,0,0
keen,429,411,7,2,2,4,0,0,3,0,0,0,0,0,0,0
wrong,428,335,18,3,0,2,1,61,1,4,0,1,2,0,0,0
attractive,428,410,2,0,2,0,2,4,0,0,1,3,4,0,0,0
complicated,426,395,10,3,11,0,5,1,0,0,0,1,0,0,0,0
fair,424,418,2,1,1,0,0,1,0,0,0,0,1,0,0,0
smooth,420,406,9,2,0,0,1,1,0,1,0,0,0,0,0,0
small,405,167,9,195,3,0,7,21,0,2,1,0,0,0,0,0
dangerous,403,374,1,4,6,0,6,6,0,2,2,0,1,0,1,0
positive,400,383,2,2,4,0,4,1,2,0,2,0,0,0,0,0
correct,397,374,8,0,4,1,0,2,1,1,1,2,3,0,0,0
bright,391,382,5,1,2,0,0,0,0,0,0,1,0,0,0,0
common,390,383,3,2,2,0,0,0,0,0,0,0,0,0,0,0
helpful,390,373,5,1,4,0,4,1,0,0,1,1,0,0,0,0
profitable,389,364,14,3,3,0,0,1,0,0,0,3,1,0,0,0
friendly,375,345,22,1,1,1,4,0,0,0,1,0,0,0,0,0
powerful,371,317,18,15,6,2,3,6,0,1,0,1,2,0,0,0
visible,370,343,5,13,2,0,5,1,0,0,0,1,0,0,0,0
fit,369,353,7,0,1,2,0,0,1,1,3,0,1,0,0,0
crazy,367,341,9,3,1,2,2,2,4,0,0,1,2,0,0,0
consistent,365,334,10,5,2,4,4,0,3,1,0,1,0,1,0,0
busy,360,287,50,4,2,3,8,0,3,2,0,0,1,0,0,0
healthy,352,330,12,1,2,2,1,0,2,0,1,1,0,0,0,0
disappointed,350,337,8,1,0,1,1,0,1,1,0,0,0,0,0,0
young,343,270,44,9,10,4,3,0,1,2,0,0,0,0,0,0
perfect,339,286,6,11,3,1,1,26,3,1,1,0,0,0,0,0
eager,337,314,5,5,0,3,3,0,3,0,0,2,2,0,0,0
robust,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upset,334,303,8,1,0,10,5,0,3,2,1,0,1,0,0,0
low,322,287,22,5,0,0,3,3,1,1,0,0,0,0,0,0
ill,322,266,16,1,27,7,1,0,0,0,1,1,2,0,0,0
nervous,314,263,49,0,0,1,0,0,1,0,0,0,0,0,0,0
dependent,313,282,7,9,6,0,6,0,0,0,2,0,1,0,0,0
fond,309,279,23,4,1,0,1,0,0,0,0,1,0,0,0,0
unexpected,306,298,0,0,3,0,1,0,0,2,0,0,2,0,0,0
rosy,301,295,5,0,1,0,0,0,0,0,0,0,0,0,0,0
proud,300,246,40,5,0,5,0,0,3,1,0,0,0,0,0,0
rich,298,232,36,6,4,2,7,0,1,4,4,0,1,0,0,1
reliable,297,279,7,2,1,0,4,0,0,2,0,2,0,0,0,0
sweet,297,263,15,3,3,0,1,2,0,0,10,0,0,0,0,0
useful,295,279,2,3,4,0,3,1,0,0,1,1,1,0,0,0
intense,294,258,19,2,6,1,4,3,0,0,0,0,1,0,0,0
