colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,positive_plus1,negative_plus1,positive_ratio,negative_ratio,positive_skew,negative_skew
only_well-prepared,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_gracious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_dreamy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_earnings-enhancing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_indispensable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
objectively_low,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_fresh,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_friendly,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
obviously_apparent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_graceful,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_green,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_imaginative,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
objectively_necessary,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_heroic,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_flexible,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
objectively_evil,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
obese_overall,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_huge,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
nutritionally_equal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_idiomatic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_wicked,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_well-written,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_outgoing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_imcompetent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_ideological,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_ill,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_clever,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_classic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_illicit,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_charming,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
only_central,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_briar-scratched,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_car-like,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_charismatic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_imperative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_calming,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_bull-headed,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_brown,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_brief,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_appealing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_inexpensive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_anxious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_coercive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_impractical,0,4,4,-0.1369,0.2943,1,5,0.0,1.0,0.0,8.6144
only_melancholy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_inconsistent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_inaccurate,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_inappropriate,0,5,5,-0.1369,0.3807,1,6,0.0,1.0,0.0,8.6144
only_incapable,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
only_bizarre,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_benign,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_incompatible,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_believable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_belated,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_baffling,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_brain-damaged,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_independent,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
only_indian,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_authoritative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_attractive,0,5,5,-0.1369,0.3807,1,6,0.0,1.0,0.0,8.6144
only_athletic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_astonishing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_indicative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_bogus,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_beholden,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_balmy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_autobiographical,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_sociable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_wealthy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_welcoming,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_well-known,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_well-read,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_well-received,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_sure,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_suave,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_savvy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_scientific,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_verbal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_self-helped,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_sentimental,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_short,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_shrewd,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_slim,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_smooth,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_social,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
