colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
specifically_interested,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
equally_elusive,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
so_entrenched,-0.2878,3.7314,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,-0.2878,0.0099,-0.2878
inherently_reporter-friendly,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
only_newsy,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
as_unthinkable,-0.3455,3.5419,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,0.9503,-0.3455
collectively_interested,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
so_cautious,-0.3876,3.4884,-0.1454,-0.3876,-0.1454,-0.3876,-0.3876,-0.3876,-0.3876,-0.3876,-0.3876,-0.3876,-0.3876,1.0659,-0.3876
only_alarmed,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
sufficiently_great,-0.3693,3.3235,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,1.4771,-0.3693
so_immune,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673,-0.2673,-0.2673
decidedly_generation,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
nobly_righteous,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
eventually_driven,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
