colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
woefully_inadequate,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
also_open,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
also_skeptical,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
eerily_similar,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
fairly_clear,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
longer_true,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
quite_surprised,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
still_cautious,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
surprisingly_strong,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
very_beneficial,0,48,48,-0.03348,1.51751,0.48867,0.0,1.0,0.0,1.67505,1,49
mostly_due,0,47,47,-0.03348,1.48324,0.47697,0.0,1.0,0.0,1.67505,1,48
pretty_difficult,0,47,47,-0.03348,1.48324,0.47697,0.0,1.0,0.0,1.67505,1,48
still_necessary,0,47,47,-0.03348,1.48324,0.47697,0.0,1.0,0.0,1.67505,1,48
still_out,0,47,47,-0.03348,1.48324,0.47697,0.0,1.0,0.0,1.67505,1,48
still_unable,0,47,47,-0.03348,1.48324,0.47697,0.0,1.0,0.0,1.67505,1,48
still_unresolved,0,47,47,-0.03348,1.48324,0.47697,0.0,1.0,0.0,1.67505,1,48
also_difficult,0,46,46,-0.03348,1.44897,0.46527,0.0,1.0,0.0,1.67505,1,47
certainly_worth,0,46,46,-0.03348,1.44897,0.46527,0.0,1.0,0.0,1.67505,1,47
grossly_unfair,0,46,46,-0.03348,1.44897,0.46527,0.0,1.0,0.0,1.67505,1,47
quite_difficult,0,46,46,-0.03348,1.44897,0.46527,0.0,1.0,0.0,1.67505,1,47
so_unpopular,0,46,46,-0.03348,1.44897,0.46527,0.0,1.0,0.0,1.67505,1,47
very_fragile,0,46,46,-0.03348,1.44897,0.46527,0.0,1.0,0.0,1.67505,1,47
about_halfway,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
always_worried,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
especially_acute,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
longer_valid,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
quite_positive,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
really_neat,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
still_healthy,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
virtually_unheard,0,45,45,-0.03348,1.4147,0.45357,0.0,1.0,0.0,1.67505,1,46
also_ready,0,44,44,-0.03348,1.38043,0.44188,0.0,1.0,0.0,1.67505,1,45
always_afraid,0,44,44,-0.03348,1.38043,0.44188,0.0,1.0,0.0,1.67505,1,45
just_like,0,44,44,-0.03348,1.38043,0.44188,0.0,1.0,0.0,1.67505,1,45
particularly_galling,0,44,44,-0.03348,1.38043,0.44188,0.0,1.0,0.0,1.67505,1,45
still_rare,0,44,44,-0.03348,1.38043,0.44188,0.0,1.0,0.0,1.67505,1,45
definitely_worth,0,43,43,-0.03348,1.34616,0.43018,0.0,1.0,0.0,1.67505,1,44
increasingly_worried,0,43,43,-0.03348,1.34616,0.43018,0.0,1.0,0.0,1.67505,1,44
legally_blind,0,43,43,-0.03348,1.34616,0.43018,0.0,1.0,0.0,1.67505,1,44
pretty_smart,0,43,43,-0.03348,1.34616,0.43018,0.0,1.0,0.0,1.67505,1,44
relatively_strong,0,43,43,-0.03348,1.34616,0.43018,0.0,1.0,0.0,1.67505,1,44
still_evident,0,43,43,-0.03348,1.34616,0.43018,0.0,1.0,0.0,1.67505,1,44
also_optimistic,0,42,42,-0.03348,1.31189,0.41848,0.0,1.0,0.0,1.67505,1,43
partly_sunny,0,42,42,-0.03348,1.31189,0.41848,0.0,1.0,0.0,1.67505,1,43
recently_unchanged,0,42,42,-0.03348,1.31189,0.41848,0.0,1.0,0.0,1.67505,1,43
still_cheap,0,42,42,-0.03348,1.31189,0.41848,0.0,1.0,0.0,1.67505,1,43
absolutely_delighted,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
also_black,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
also_reluctant,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
extremely_cautious,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
extremely_reluctant,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
extremely_vulnerable,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
fairly_typical,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
mostly_white,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
now_defunct,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
still_dark,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
theoretically_possible,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
very_confused,0,41,41,-0.03348,1.27763,0.40678,0.0,1.0,0.0,1.67505,1,42
also_free,0,40,40,-0.03348,1.24336,0.39508,0.0,1.0,0.0,1.67505,1,41
also_instrumental,0,40,40,-0.03348,1.24336,0.39508,0.0,1.0,0.0,1.67505,1,41
also_upset,0,40,40,-0.03348,1.24336,0.39508,0.0,1.0,0.0,1.67505,1,41
still_skeptical,0,40,40,-0.03348,1.24336,0.39508,0.0,1.0,0.0,1.67505,1,41
about_over,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
also_crucial,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
also_significant,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
especially_painful,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
extremely_interested,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
increasingly_confident,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
longer_acceptable,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
