adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
sound,316,36.13,153.19,0,0.0,1.0,11.0,1640,11418,4.23966929941846,1640,11.0,27.5,-16.5,4.2169502670198,1.9103686991230804
traumatic,316,36.13,166.01,0,0.0,1.0,8.0,1907,11416,4.5953210031576655,1907,8.0,20.0,-12.0,4.025380916110266,1.96877043391777
worrisome,316,36.1,219.44,0,0.0,1.0,4.0,3164,11409,6.077884930976639,3164,4.0,10.0,-6.0,3.0503760890840126,1.6748806849257416
vicious,316,36.04,216.55,0,0.0,2.0,7.0,3151,11389,6.0083890864536915,3151,7.0,17.5,-10.5,4.0483018268782205,2.07044213409784
slight,316,36.01,319.7,0,0.0,1.0,4.0,5419,11380,8.877512072283922,5419,4.0,10.0,-6.0,3.0204011331221516,1.7119752019491552
accommodating,316,35.96,291.35,0,0.0,0.0,3.0,4247,11364,8.101533747600138,4247,3.0,7.5,-4.5,2.563956332860527,1.5658618031859168
unlimited,316,35.85,235.79,0,0.0,0.0,3.0,2751,11328,6.577472206021575,2751,3.0,7.5,-4.5,2.5200570589274816,1.4997734263117544
easier,316,35.82,349.29,0,0.0,0.0,2.0,6013,11318,9.752349332274196,6013,2.0,5.0,-3.0,2.3410894251866954,1.4171067697448865
hectic,316,35.73,162.21,0,0.0,1.0,5.0,1606,11292,4.539400819801969,1606,5.0,12.5,-7.5,3.3152807838160627,1.7411724819015202
adaptable,316,35.7,184.56,0,0.0,1.0,6.0,2076,11282,5.16932785001224,2076,6.0,15.0,-9.0,3.552175451796123,1.8295275351935139
detrimental,316,35.67,131.63,0,0.0,2.0,13.25,1257,11273,3.68992581628008,1257,13.25,33.125,-19.875,5.1184649781964495,2.266777051578006
balance,316,35.66,418.63,0,0.0,0.0,1.0,7250,11267,11.74106861791617,7250,1.0,2.5,-1.5,1.9370069829179268,1.3238997521050604
graphic,316,35.54,176.22,0,0.0,1.0,7.0,2117,11230,4.9587295137789145,2117,7.0,17.5,-10.5,3.757671608234294,1.9124836749526906
forthcoming,316,35.49,240.19,0,0.0,1.0,5.0,3026,11214,6.768233822107229,3026,5.0,12.5,-7.5,3.1104975816690836,1.6727567676440471
pointless,316,35.46,108.99,0,0.0,2.0,11.0,857,11205,3.0736248279754683,857,11.0,27.5,-16.5,4.905732274287649,2.08559321462193
lenient,316,35.44,342.47,0,0.0,0.0,2.0,5238,11198,9.664315346509436,5238,2.0,5.0,-3.0,2.2252493410006604,1.4396275315177232
pathetic,316,35.35,145.21,0,0.0,2.0,8.0,1292,11170,4.108038753062256,1292,8.0,20.0,-12.0,4.361512273563651,2.0764477923693576
fertile,316,35.34,232.49,0,0.0,1.0,8.0,3449,11166,6.5794676733910755,3449,8.0,20.0,-12.0,3.906145801462779,1.9626592231258955
noble,316,35.33,200.6,0,0.0,2.0,8.0,2345,11165,5.677604291934815,2345,8.0,20.0,-12.0,3.8847890512539576,1.9444586893114582
inspirational,316,35.16,196.46,0,0.0,2.0,7.0,2411,11112,5.58676561963469,2411,7.0,17.5,-10.5,3.9990491556929424,2.0295050638260212
disastrous,316,35.1,162.15,0,0.0,2.0,11.0,2209,11092,4.619392987725306,2209,11.0,27.5,-16.5,4.846200309472177,2.2047296569282815
secular,316,35.01,166.32,0,0.0,2.0,13.0,2550,11064,4.750220963375354,2550,13.0,32.5,-19.5,4.670177182598763,2.0641196420153154
unreasonable,316,34.98,299.51,0,0.0,1.0,7.25,5228,11054,8.562178031251133,5228,7.25,18.125,-10.875,3.8315708475842114,1.8974414321590245
richer,316,34.73,300.32,0,0.0,1.0,5.0,4690,10975,8.647024730499924,4690,5.0,12.5,-7.5,3.109877078113137,1.742430889139792
secretive,316,34.61,166.42,0,0.0,1.0,7.0,1513,10937,4.808389762502779,1513,7.0,17.5,-10.5,3.5263933050141425,1.7768418228561833
vigilant,316,34.41,219.47,0,0.0,0.0,3.0,3461,10875,6.377358847260788,3461,3.0,7.5,-4.5,2.623731824659891,1.5143834650936778
playful,316,34.34,207.84,0,0.0,2.0,10.0,3081,10850,6.053236019651991,3081,10.0,25.0,-15.0,4.577328818118275,2.2168336748491133
unrealistic,316,34.28,108.9,0,0.0,2.0,13.0,1000,10831,3.1771276072815415,1000,13.0,32.5,-19.5,5.217496121862756,2.2578010249367453
assertive,316,34.03,368.1,0,0.0,1.0,4.0,6417,10755,10.815397928813479,6417,4.0,10.0,-6.0,2.697851005478405,1.6555751217594168
synonymous,316,34.0,154.25,0,0.0,1.0,8.0,2056,10745,4.53645394572194,2056,8.0,20.0,-12.0,3.6429701240592895,1.7579163959961466
pretty,316,33.96,298.01,0,0.0,1.0,6.0,5077,10732,8.774856759760253,5077,6.0,15.0,-9.0,3.305114374966911,1.7614626488974205
experimental,316,33.91,241.4,0,0.0,2.0,8.0,4013,10714,7.1197513197238065,4013,8.0,20.0,-12.0,4.220971216092287,2.1411183529001625
enticing,316,33.9,208.19,0,0.0,2.0,8.0,3125,10713,6.140903827001398,3125,8.0,20.0,-12.0,3.9008168576791054,2.0264992026469506
unhealthy,316,33.89,127.7,0,1.0,4.0,18.0,1874,10709,3.7682510692940325,1874,17.0,43.5,-24.5,6.490642930907896,2.6592316265277676
astonish,316,33.8,183.37,0,0.0,1.0,4.0,2431,10681,5.424928797873443,2431,4.0,10.0,-6.0,3.0731355547032,1.6714056118239176
blunt,316,33.76,178.03,0,0.0,1.0,5.0,2556,10669,5.272956425027305,2556,5.0,12.5,-7.5,3.6374000815959997,1.8323513117540262
zero,316,33.73,220.53,0,0.0,0.0,3.0,2832,10659,6.537903279132232,2832,3.0,7.5,-4.5,2.456057206010155,1.4553937660803151
seamless,316,33.73,211.13,0,0.0,1.0,5.0,3007,10658,6.259801507946647,3007,5.0,12.5,-7.5,3.167892021310672,1.674782839272394
daily,316,33.68,398.16,0,0.0,0.0,1.0,6964,10642,11.822700152584815,6964,1.0,2.5,-1.5,1.9381529009712153,1.352707303800361
glorious,316,33.54,232.01,0,0.0,1.0,5.0,3533,10598,6.917792022551749,3533,5.0,12.5,-7.5,3.5169779385439113,1.8797349382435273
fitting,316,33.52,251.58,0,0.0,0.0,2.0,3721,10592,7.505525246298058,3721,2.0,5.0,-3.0,2.459532522746321,1.4910454322951237
anonymous,316,33.51,130.98,0,0.0,1.0,12.0,1734,10588,3.909121049725037,1734,12.0,30.0,-18.0,4.667854586006748,2.0760078063584366
comfy,316,33.47,178.14,0,0.0,0.0,4.0,1838,10575,5.323166385137022,1838,4.0,10.0,-6.0,3.0216895788031772,1.6330967772671705
bloody,316,33.44,126.47,0,0.0,2.0,10.0,1424,10568,3.7816126895437465,1424,10.0,25.0,-15.0,4.590946210319327,2.1294658975099514
pragmatic,316,33.42,299.88,0,0.0,2.0,8.0,5122,10561,8.972914867935813,5122,8.0,20.0,-12.0,4.034116511443186,2.1120446891272886
imaginative,316,33.39,182.23,0,0.0,2.0,7.25,2209,10550,5.458239096000311,2209,7.25,18.125,-10.875,4.0671371060286035,2.04725993232489
fruitful,316,33.36,222.56,0,0.0,1.0,7.0,3003,10542,6.671442313767714,3003,7.0,17.5,-10.5,3.5895104425087645,1.9371441376702945
flavorful,316,33.28,206.85,0,0.0,0.0,4.0,2949,10515,6.216333025059558,2949,4.0,10.0,-6.0,2.801896598548374,1.5393554929137405
insecure,316,33.18,130.64,0,0.0,3.0,12.0,1320,10484,3.937715017674555,1320,12.0,30.0,-18.0,5.44569571456432,2.4223224545273307
elite,316,33.16,288.97,0,0.0,1.0,6.0,4908,10478,8.7148427506805,4908,6.0,15.0,-9.0,3.2120332099957376,1.7586779683935219
reputable,316,33.12,311.77,0,0.0,0.0,3.0,5220,10466,9.413312435227223,5220,3.0,7.5,-4.5,2.3698852176012157,1.4842748903698557
worthless,316,33.07,103.96,0,0.0,1.0,11.0,816,10451,3.1434603220056436,816,11.0,27.5,-16.5,4.599328066954502,2.021335000762948
variable,316,33.07,224.1,0,0.0,1.0,6.0,3477,10449,6.777240943937934,3477,6.0,15.0,-9.0,3.531150997928682,1.908555479878279
intentional,316,33.02,228.68,0,0.0,1.0,5.0,3183,10435,6.925117757063703,3183,5.0,12.5,-7.5,3.1309853725301164,1.6438693663432158
arbitrary,316,33.02,114.12,0,0.0,1.0,9.0,1059,10434,3.456344416822492,1059,9.0,22.5,-13.5,4.405383669404838,1.970637373007936
pertinent,316,33.01,201.14,0,0.0,1.0,5.0,2471,10432,6.0927060271115785,2471,5.0,12.5,-7.5,3.2729925035505474,1.8294322932150981
literal,316,32.96,182.91,0,0.0,1.0,6.0,2038,10416,5.54918506428876,2038,6.0,15.0,-9.0,3.2667589757993225,1.7706877568172996
