             l1  l2                      f        E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1       f2         N  
           even  sadder               1337      27.09              1884                 2677               2913   22519       3037           61        38636                  80               53866                  61               38864           3821            8969.82               8969.82                2.16    0.002       35.82         0.650         0.001                0.664                0.001                0.650                0.001         1309.91  1120205     2014  83284343  
           more  fuel-efficient       1894     278.56              2778                 4038              14649   91913       2872           62        72849                  40              111220                  62               74795           3204            5699.42               5699.42                1.40    0.000       37.12         0.649         0.000                0.761                0.000                0.649                0.000         1615.44  9320997     2489  83284343  
            not  alone               57909    4389.04                59                   67               9418    1297         68           63         7596                  66                8744                  64                8003             91          242366.98             242366.98                1.62    0.026      222.40         0.647         0.013                0.700                0.013                0.647                0.012        53519.96  4415785    82780  83284343  
           most  trusted               729      89.79              5368                 8326              13359  124230       5940           64        84845                  51              133060                  63               86108           6715            2409.25               2409.25                1.45    0.000       23.67         0.647         0.000                0.738                0.000                0.647                0.000          639.21  7568812      988  83284343  
           most  sought-after         1274     157.13              3546                 5277              13419  100707       3833           65        76040                  52              116824                  65               77453           4361            4204.60               4204.60                1.45    0.000       31.29         0.646         0.000                0.737                0.000                0.646                0.000         1116.87  7568812     1729  83284343  
           most  iconic              28915    3573.73               194                  233              13464    6134        204           66        20412                  54               25736                  66               21728            232           95314.48              95314.48                1.45    0.008      149.03         0.645         0.004                0.735                0.004                0.644                0.003        25341.27  7568812    39324  83284343  
            not  hyperbole             903      68.82              3856                 5774               9708   91622       4634           67        72444                  67              110978                  67               73296           5463            3752.38               3752.38                1.61    0.000       27.76         0.643         0.000                0.696                0.000                0.643                0.000          834.18  4415785     1298  83284343  
         pretty  darned               1956      57.66              1518                 2117               4303   22285       2197           68        38506                  86               53577                  68               38853           2784           11656.31              11656.31                1.99    0.002       42.92         0.641         0.001                0.661                0.001                0.641                0.001         1898.34  1621748     2961  83284343  
           well  mannered             1797       6.08              1008                 1349                464    1857       2267           69         9558                  97               11529                  69                9558           2928           18411.72              18411.72                2.92    0.020       42.25         0.640         0.010                0.642                0.010                0.640                0.010         1790.92   180997     2797  83284343  
           more  bearable             4052     606.03              1491                 2070              15518   56262       1487           70        58573                  45               86443                  70               60933           1671           11962.34              11962.34                1.37    0.001       54.13         0.636         0.000                0.748                0.000                0.636                0.000         3445.97  9320997     5415  83284343  
           much  nicer                7236     262.88               467                  597               5337    6496        703           71        20762                  91               26662                  71               21081            897           40094.70              40094.70                1.90    0.007       81.97         0.633         0.004                0.657                0.004                0.633                0.004         6973.12  1986728    11020  83284343  
        largely  ceremonial           3067       9.62               584                  770                440     800       1449           72         5222                 103                5968                  72                5229           1833           31864.34              31864.34                2.95    0.036       55.21         0.632         0.019                0.634                0.019                0.632                0.018         3057.38   165556     4839  83284343  
           more  just                 1576     238.83              3319                 4913              16174  100483       3375           73        76120                  50              116637                  73               77903           3763            4583.13               4583.13                1.35    0.000       33.68         0.627         0.000                0.739                0.000                0.627                0.000         1337.17  9320997     2134  83284343  
            all  set                  4839      39.53               453                  580               1234    1568        985           74         8515                 108               10166                  74                8557           1239           40945.81              40945.81                2.52    0.022       68.99         0.623         0.011                0.628                0.011                0.623                0.011         4799.47   427518     7700  83284343  
            far  left                  591       4.96              3104                 4564               1291   19928       5797           75        36329                 109               50438                  75               36387           7159            4961.55               4961.55                2.50    0.003       24.11         0.623         0.001                0.628                0.001                0.623                0.001          586.04   439392      941  83284343  
           very  near                 9606    1548.00               706                  929              17120   27656        700           76        43233                  49               60229                  76               45539            774           26817.10              26817.10                1.32    0.002       82.22         0.620         0.001                0.739                0.001                0.620                0.001         8058.00  9913432    13005  83284343  
           most  inopportune          1315     168.49              3565                 5309              15066   99234       3772           77        75594                  60              115786                  77               77008           4276            4175.06               4175.06                1.39    0.000       31.62         0.618         0.000                0.709                0.000                0.618                0.000         1146.51  7568812     1854  83284343  
           most  enduring             8599    1104.36               694                  911              15149   23622        722           78        40188                  62               55331                  78               41829            835           27243.72              27243.72                1.38    0.002       80.82         0.617         0.001                0.708                0.001                0.617                0.001         7494.64  7568812    12152  83284343  
         almost  daily                6972      56.71               311                  384               1246     918        686           79         5912                 116                6797                  79                5934            900           59006.41              59006.41                2.52    0.032       82.82         0.617         0.017                0.622                0.017                0.617                0.016         6915.29   421181    11213  83284343  
           even  weirder              2012      43.30              1368                 1885               3451   14512       2116           80        31378                 113               42540                  80               31564           2696           13115.59              13115.59                2.09    0.004       43.89         0.612         0.002                0.625                0.002                0.612                0.002         1968.70  1120205     3219  83284343  
           most  eminent              2559     331.07              2054                 2947              15501   67675       2103           81        63595                  65               95217                  81               65327           2429            8045.82               8045.82                1.37    0.001       44.04         0.612         0.000                0.702                0.000                0.612                0.000         2227.93  7568812     3643  83284343  
            not  guilty              50838    4075.16                71                   82              11037    1528         94           82         8595                  82                9992                  83                9012            116          203597.65             203597.65                1.55    0.023      207.40         0.609         0.011                0.661                0.012                0.608                0.011        46762.84  4415785    76860  83284343  
           much  smoother             4624     174.45               757                  991               5940   10829       1076           83        27273                 105               36142                  82               27658           1315           25068.65              25068.65                1.85    0.005       65.43         0.608         0.002                0.632                0.002                0.608                0.002         4449.55  1986728     7313  83284343  
          fully  operational         10760      48.62               182                  215                660     225        452           84         1913                 125                2071                  84                1915            590          103716.73             103716.73                2.77    0.088      103.26         0.603         0.047                0.606                0.047                0.603                0.047        10711.38   228060    17756  83284343  
           very  best               150096   24793.95                37                   41              18184    1046         29           85         6795                  56                7516                  85                7670             29          408688.52             408688.52                1.29    0.030      323.43         0.603         0.014                0.721                0.015                0.602                0.013       125302.05  9913432   208298  83284343  
           even  angrier               827      18.13              2934                 4294               3620   35874       4530           86        47610                 119               68909                  86               47818           5591            5342.72               5342.72                2.07    0.001       28.13         0.600         0.001                0.614                0.001                0.600                0.001          808.87  1120205     1348  83284343  
           most  consecutive          1682     222.02              3001                 4403              16351   87743       3064           87        71415                  70              108429                  87               72931           3509            5182.18               5182.18                1.34    0.000       35.60         0.598         0.000                0.688                0.000                0.598                0.000         1459.98  7568812     2443  83284343  
           more  personalised          965     152.88              4926                 7606              18385  121460       5102           88        84050                  63              131113                  88               85635           5574            2668.25               2668.25                1.28    0.000       26.14         0.595         0.000                0.706                0.000                0.595                0.000          812.12  9320997     1366  83284343  
           most  famous             165181   21974.40                25                   26              16397     629         22           89         4614                  74                4998                  89                5084             22          507890.87             507890.87                1.34    0.042      352.36         0.594         0.021                0.683                0.022                0.592                0.019       143206.60  7568812   241798  83284343  
      seemingly  endless             16264      53.68                98                  113                466      74        286           90          818                 139                 846                  90                 816            383          167435.87             167435.87                2.91    0.171      127.11         0.589         0.100                0.590                0.100                0.589                0.100        16210.32   162309    27545  83284343  
