bigram_lower,SUM,direct-adj-head,direct-neg-head
very_respectful,1,1,0
so_surprising,1,1,0
so_tense,1,1,0
technically_possible,1,1,0
technologically_feasible,1,1,0
that_large,1,1,0
that_comfortable,1,1,0
that_dangerous,1,0,1
that_deep,1,1,0
that_detailed,1,1,0
that_different,1,1,0
that_disappointed,1,1,0
that_dumb,1,1,0
very_motivated,1,1,0
that_excited,1,1,0
that_fair,1,1,0
that_forgiving,1,1,0
previously_available,1,1,0
that_great,1,1,0
that_handsome,1,1,0
that_helpful,1,1,0
that_intimidating,1,1,0
that_confused,1,1,0
very_new,1,1,0
terribly_easy,1,1,0
very_optimistic,1,1,0
terribly_entertaining,1,1,0
terribly_expensive,1,1,0
terribly_hard,1,0,1
terribly_imaginative,1,1,0
terribly_interesting,1,1,0
terribly_original,1,1,0
very_promising,1,1,0
terribly_substantive,1,1,0
that_ambitious,1,1,0
that_apparent,1,1,0
that_attractive,1,1,0
very_profitable,1,1,0
very_productive,1,1,0
very_pretty,1,1,0
very_popular,1,1,0
previously_public,1,1,0
absolutely_certain,1,1,0
pretty_good,1,1,0
darn_stubborn,1,1,0
clinically_significant,1,1,0
completely_comfortable,1,1,0
completely_fit,1,1,0
completely_immune,1,1,0
completely_safe,1,1,0
completely_satisfied,1,1,0
consistently_profitable,1,1,0
currently_appropriate,1,1,0
currently_available,1,1,0
directly_comparable,1,1,0
clinically_insane,1,1,0
directly_related,1,1,0
directly_responsible,1,1,0
easily_accessible,1,1,0
entirely_aware,1,1,0
entirely_comfortable,1,1,0
entirely_convinced,1,1,0
entirely_encouraging,1,1,0
entirely_fair,1,1,0
entirely_innocent,1,1,0
clinically_meaningful,1,1,0
as_well-known,1,1,0
half_full,1,1,0
as_secular,1,1,0
as_pristine,1,1,0
as_productive,1,1,0
as_profitable,1,0,1
as_prominent,1,1,0
as_quick,1,1,0
as_rare,1,1,0
as_remarkable,1,1,0
as_restrained,1,1,0
as_rosy,1,1,0
as_sensitive,1,1,0
as_welcoming,1,1,0
as_shocking,1,1,0
as_stiff,1,1,0
as_sure,1,1,0
as_sweeping,1,1,0
as_sympathetic,1,1,0
as_vibrant,1,1,0
as_vigorous,1,1,0
as_visible,1,1,0
as_warm,1,1,0
entirely_new,1,1,0
entirely_positive,1,1,0
entirely_rational,1,1,0
financially_sound,1,1,0
exactly_happy,1,1,0
exactly_new,1,1,0
