    l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
POSMIR  conniving              7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  bureaucratic           7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  elliptical             7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  peripheral             7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  tangential             7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  acoustic               7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  upside-down            7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  stoned                 7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  concave                7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  gluten-free            7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  inaudible              7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  resident               7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
NEGMIR  earthshaking           7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  residential            7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  calmer                 7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  inseparable            7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  tastier                7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  unprotected            7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
NEGMIR  dissapointed           7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  underdone              7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  siloed                 7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  unintelligent          7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  headstrong             7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  motherly               7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
