adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
actually,1632,90.2,372.64,0,5,15.0,48.0,9921,147211,4.131170451732361,9921,43.0,112.5,-59.5,18.316649524172607,6.68028673325633
significantly,1632,82.92,928.95,0,0,1.0,4.0,23377,135321,11.203323128847657,23377,4.0,10.0,-6.0,3.063310036107418,1.792611628640033
seemingly,1632,82.02,502.02,0,4,13.0,40.0,16257,133860,6.1205806915077385,16257,36.0,94.0,-50.0,14.984098850627161,5.654238182427386
both,1632,79.41,172.02,0,10,26.0,70.0,2890,129601,2.166153871951953,2890,60.0,160.0,-80.0,28.47339746794835,10.998573631729665
largely,1632,79.39,384.22,0,1,5.0,24.0,7602,129561,4.839837365139938,7602,23.0,58.5,-33.5,8.590670594123564,3.116249650704335
probably,1632,77.59,547.37,0,2,7.0,28.0,17196,126623,7.054897273388597,17196,26.0,67.0,-37.0,9.748876740444965,3.72323087477832
never,1632,74.92,486.12,0,2,7.0,25.0,12243,122272,6.488319641112593,12243,23.0,59.5,-32.5,9.657360958758836,3.7640692059064356
sometimes,1632,74.78,262.36,0,6,19.0,60.0,5999,122038,3.508466000870818,5999,54.0,141.0,-75.0,21.21871334962108,7.417604125507091
politically,1632,73.46,683.3,0,0,2.0,12.0,21885,119882,9.302048219595223,21885,12.0,30.0,-18.0,5.117376942192262,2.2766436323952814
least,1632,72.36,486.33,0,3,9.0,29.0,11874,118084,6.7214401775515284,11874,26.0,68.0,-36.0,11.584157860978365,4.456485223608695
generally,1632,72.04,290.45,0,5,13.0,41.0,6811,117563,4.032003465446385,6811,36.0,95.0,-49.0,16.973023974406807,6.718970055556922
usually,1632,70.38,238.39,0,7,18.0,46.0,5828,114868,3.387008243900385,5828,39.0,104.5,-51.5,20.299895011112703,8.474085923092776
surprisingly,1632,68.85,318.23,0,2,10.0,37.0,7767,112369,4.621848271582479,7767,35.0,89.5,-50.5,12.447890956789177,4.443816844039033
ever,1632,66.98,377.49,0,2,8.0,31.0,7639,109306,5.636157691066866,7639,29.0,74.5,-41.5,11.21152882020887,4.368408730891122
currently,1632,66.33,1064.32,0,0,2.0,10.0,41561,108250,16.045885718269126,41561,10.0,25.0,-15.0,4.7648544915919295,2.2725820585911727
overly,1632,64.44,293.03,0,1,6.0,26.25,5135,105167,4.547316766410033,5135,25.25,64.125,-36.875,8.481640155693553,3.001695038097759
simply,1632,63.53,254.03,0,3,10.0,37.0,5444,103676,3.9987246622637724,5444,34.0,88.0,-48.0,13.628560149516897,5.3511549338624365
